index,id,atlas_id,parent_structure_id,depth,structure_id_path,color_hex_triplet,name,acronym
1014,512,63,8,2,/997/8/512/,F0F080,Cerebellum,CB
1015,528,65,512,3,/997/8/512/528/,F0F080,Cerebellar cortex,CBX
1016,1144,1142,528,4,/997/8/512/528/1144/,FFFC91,Cerebellar cortex molecular layer,CBXmo
1017,1145,1143,528,4,/997/8/512/528/1145/,FFFC91,Cerebellar cortex Purkinje layer,CBXpu
1018,1143,1141,528,4,/997/8/512/528/1143/,ECE754,Cerebellar cortex granular layer,CBXgr
1019,645,363,528,4,/997/8/512/528/645/,FFFC91,Vermal regions,VERM
1020,912,396,645,5,/997/8/512/528/645/912/,FFFC91,Lingula (I),LING
1021,10707,,912,6,/997/8/512/528/645/912/10707/,FFFC91,Lingula (I) molecular layer,LINGmo
1022,10706,,912,6,/997/8/512/528/645/912/10706/,FFFC91,Lingula (I) Purkinje layer,LINGpu
1023,10705,,912,6,/997/8/512/528/645/912/10705/,ECE754,Lingula (I) granular layer,LINGgr
1024,920,397,645,5,/997/8/512/528/645/920/,FFFC91,Central lobule,CENT
1025,976,404,920,6,/997/8/512/528/645/920/976/,FFFC91,Lobule II,CENT2
1026,10710,,976,7,/997/8/512/528/645/920/976/10710/,FFFC91,Lobule II molecular layer,CENT2mo
1027,10709,,976,7,/997/8/512/528/645/920/976/10709/,FFFC91,Lobule II Purkinje layer,CENT2pu
1028,10708,,976,7,/997/8/512/528/645/920/976/10708/,ECE754,Lobule II granular layer,CENT2gr
1029,984,405,920,6,/997/8/512/528/645/920/984/,FFFC91,Lobule III,CENT3
1030,10713,,984,7,/997/8/512/528/645/920/984/10713/,FFFC91,Lobule III molecular layer,CENT3mo
1031,10712,,984,7,/997/8/512/528/645/920/984/10712/,FFFC91,Lobule III Purkinje layer,CENT3pu
1032,10711,,984,7,/997/8/512/528/645/920/984/10711/,ECE754,Lobule III granular layer,CENT3gr
1033,928,398,645,5,/997/8/512/528/645/928/,FFFC91,Culmen,CUL
1034,992,406,928,6,/997/8/512/528/645/928/992/,FFFC91,Lobule IV,CUL4
1035,10716,,992,7,/997/8/512/528/645/928/992/10716/,FFFC91,Lobule IV molecular layer,CUL4mo
1036,10715,,992,7,/997/8/512/528/645/928/992/10715/,FFFC91,Lobule IV Purkinje layer,CUL4pu
1037,10714,,992,7,/997/8/512/528/645/928/992/10714/,ECE754,Lobule IV granular layer,CUL4gr
1038,1001,407,928,6,/997/8/512/528/645/928/1001/,FFFC91,Lobule V,CUL5
1039,10719,,1001,7,/997/8/512/528/645/928/1001/10719/,FFFC91,Lobule V molecular layer,CUL5mo
1040,10718,,1001,7,/997/8/512/528/645/928/1001/10718/,FFFC91,Lobule V Purkinje layer,CUL5pu
1041,10717,,1001,7,/997/8/512/528/645/928/1001/10717/,ECE754,Lobule V granular layer,CUL5gr
1042,1091,843,928,6,/997/8/512/528/645/928/1091/,FFFC91,Lobules IV-V,CUL4 5
1043,10722,,1091,7,/997/8/512/528/645/928/1091/10722/,FFFC91,Lobules IV-V molecular layer,CUL4 5mo
1044,10721,,1091,7,/997/8/512/528/645/928/1091/10721/,FFFC91,Lobules IV-V Purkinje layer,CUL4 5pu
1045,10720,,1091,7,/997/8/512/528/645/928/1091/10720/,ECE754,Lobules IV-V granular layer,CUL4 5gr
1046,936,399,645,5,/997/8/512/528/645/936/,FFFC91,Declive (VI),DEC
