index,id,atlas_id,parent_structure_id,depth,structure_id_path,color_hex_triplet,name,acronym
5,315,746,695,5,/997/8/567/688/695/315/,70FF71,Isocortex,Isocortex
6,184,871,315,6,/997/8/567/688/695/315/184/,268F45,Frontal pole cerebral cortex,FRP
7,68,998,184,7,/997/8/567/688/695/315/184/68/,268F45,Frontal pole layer 1,FRP1
8,667,1073,184,7,/997/8/567/688/695/315/184/667/,268F45,Frontal pole layer 2/3,FRP2/3
9,526157192,,184,7,/997/8/567/688/695/315/184/526157192/,268F45,Frontal pole layer 5,FRP5
10,526157196,,184,7,/997/8/567/688/695/315/184/526157196/,268F45,Frontal pole layer 6a,FRP6a
11,526322264,,184,7,/997/8/567/688/695/315/184/526322264/,268F45,Frontal pole layer 6b,FRP6b
12,500,203,315,6,/997/8/567/688/695/315/500/,1F9D5A,Somatomotor areas,MO
13,107,1003,500,7,/997/8/567/688/695/315/500/107/,1F9D5A,Somatomotor areas Layer 1,MO1
14,219,1017,500,7,/997/8/567/688/695/315/500/219/,1F9D5A,Somatomotor areas Layer 2/3,MO2/3
15,299,1027,500,7,/997/8/567/688/695/315/500/299/,1F9D5A,Somatomotor areas Layer 5,MO5
16,644,787,500,7,/997/8/567/688/695/315/500/644/,1F9D5A,Somatomotor areas Layer 6a,MO6a
17,947,825,500,7,/997/8/567/688/695/315/500/947/,1F9D5A,Somatomotor areas Layer 6b,MO6b
18,985,830,500,7,/997/8/567/688/695/315/500/985/,1F9D5A,Primary motor area,MOp
19,320,888,985,8,/997/8/567/688/695/315/500/985/320/,1F9D5A,Primary motor area Layer 1,MOp1
20,943,966,985,8,/997/8/567/688/695/315/500/985/943/,1F9D5A,Primary motor area Layer 2/3,MOp2/3
21,648,929,985,8,/997/8/567/688/695/315/500/985/648/,1F9D5A,Primary motor area Layer 5,MOp5
22,844,1095,985,8,/997/8/567/688/695/315/500/985/844/,1F9D5A,Primary motor area Layer 6a,MOp6a
23,882,1100,985,8,/997/8/567/688/695/315/500/985/882/,1F9D5A,Primary motor area Layer 6b,MOp6b
24,993,831,500,7,/997/8/567/688/695/315/500/993/,1F9D5A,Secondary motor area,MOs
25,656,930,993,8,/997/8/567/688/695/315/500/993/656/,1F9D5A,Secondary motor area layer 1,MOs1
26,962,1110,993,8,/997/8/567/688/695/315/500/993/962/,1F9D5A,Secondary motor area layer 2/3,MOs2/3
27,767,944,993,8,/997/8/567/688/695/315/500/993/767/,1F9D5A,Secondary motor area layer 5,MOs5
28,1021,1117,993,8,/997/8/567/688/695/315/500/993/1021/,1F9D5A,Secondary motor area layer 6a,MOs6a
29,1085,1125,993,8,/997/8/567/688/695/315/500/993/1085/,1F9D5A,Secondary motor area layer 6b,MOs6b
30,453,339,315,6,/997/8/567/688/695/315/453/,188064,Somatosensory areas,SS
31,12993,,453,7,/997/8/567/688/695/315/453/12993/,188064,Somatosensory areas layer 1,SS1
32,12994,,453,7,/997/8/567/688/695/315/453/12994/,188064,Somatosensory areas layer 2/3,SS2/3
33,12995,,453,7,/997/8/567/688/695/315/453/12995/,188064,Somatosensory areas layer 4,SS4
34,12996,,453,7,/997/8/567/688/695/315/453/12996/,188064,Somatosensory areas layer 5,SS5
35,12997,,453,7,/997/8/567/688/695/315/453/12997/,188064,Somatosensory areas layer 6a,SS6a
36,12998,,453,7,/997/8/567/688/695/315/453/12998/,188064,Somatosensory areas layer 6b,SS6b
37,322,747,453,7,/997/8/567/688/695/315/453/322/,188064,Primary somatosensory area,SSp
38,793,1089,322,8,/997/8/567/688/695/315/453/322/793/,188064,Primary somatosensory area layer 1,SSp1
39,346,1033,322,8,/997/8/567/688/695/315/453/322/346/,188064,Primary somatosensory area layer 2/3,SSp2/3
40,865,1098,322,8,/997/8/567/688/695/315/453/322/865/,188064,Primary somatosensory area layer 4,SSp4
41,921,1105,322,8,/997/8/567/688/695/315/453/322/921/,188064,Primary somatosensory area layer 5,SSp5
42,686,934,322,8,/997/8/567/688/695/315/453/322/686/,188064,Primary somatosensory area layer 6a,SSp6a
43,719,938,322,8,/997/8/567/688/695/315/453/322/719/,188064,Primary somatosensory area layer 6b,SSp6b
44,353,751,322,8,/997/8/567/688/695/315/453/322/353/,188064,Primary somatosensory area nose,SSp-n
45,558,635,353,9,/997/8/567/688/695/315/453/322/353/558/,188064,Primary somatosensory area nose layer 1,SSp-n1
46,838,953,353,9,/997/8/567/688/695/315/453/322/353/838/,188064,Primary somatosensory area nose layer 2/3,SSp-n2/3
47,654,647,353,9,/997/8/567/688/695/315/453/322/353/654/,188064,Primary somatosensory area nose layer 4,SSp-n4
48,702,653,353,9,/997/8/567/688/695/315/453/322/353/702/,188064,Primary somatosensory area nose layer 5,SSp-n5
49,889,1101,353,9,/997/8/567/688/695/315/453/322/353/889/,188064,Primary somatosensory area nose layer 6a,SSp-n6a
50,929,1106,353,9,/997/8/567/688/695/315/453/322/353/929/,188064,Primary somatosensory area nose layer 6b,SSp-n6b
51,329,748,322,8,/997/8/567/688/695/315/453/322/329/,188064,Primary somatosensory area barrel field,SSp-bfd
52,981,971,329,9,/997/8/567/688/695/315/453/322/329/981/,188064,Primary somatosensory area barrel field layer 1,SSp-bfd1
53,201,1015,329,9,/997/8/567/688/695/315/453/322/329/201/,188064,Primary somatosensory area barrel field layer 2/3,SSp-bfd2/3
54,1047,979,329,9,/997/8/567/688/695/315/453/322/329/1047/,188064,Primary somatosensory area barrel field layer 4,SSp-bfd4
55,1070,982,329,9,/997/8/567/688/695/315/453/322/329/1070/,188064,Primary somatosensory area barrel field layer 5,SSp-bfd5
56,1038,978,329,9,/997/8/567/688/695/315/453/322/329/1038/,188064,Primary somatosensory area barrel field layer 6a,SSp-bfd6a
57,1062,981,329,9,/997/8/567/688/695/315/453/322/329/1062/,188064,Primary somatosensory area barrel field layer 6b,SSp-bfd6b
58,480149202,,329,9,/997/8/567/688/695/315/453/322/329/480149202/,188064,Rostrolateral lateral visual area,VISrll
59,480149206,,480149202,10,/997/8/567/688/695/315/453/322/329/480149202/480149206/,188064,Rostrolateral lateral visual area layer 1,VISrll1
60,480149210,,480149202,10,/997/8/567/688/695/315/453/322/329/480149202/480149210/,188064,Rostrolateral lateral visual area layer 2/3,VISrll2/3
61,480149214,,480149202,10,/997/8/567/688/695/315/453/322/329/480149202/480149214/,188064,Rostrolateral lateral visual area layer 4,VISrll4
62,480149218,,480149202,10,/997/8/567/688/695/315/453/322/329/480149202/480149218/,188064,Rostrolateral lateral visual arealayer 5,VISrll5
63,480149222,,480149202,10,/997/8/567/688/695/315/453/322/329/480149202/480149222/,188064,Rostrolateral lateral visual area layer 6a,VISrll6a
64,480149226,,480149202,10,/997/8/567/688/695/315/453/322/329/480149202/480149226/,188064,Rostrolateral lateral visual area layer 6b,VISrll6b
65,337,749,322,8,/997/8/567/688/695/315/453/322/337/,188064,Primary somatosensory area lower limb,SSp-ll
66,1030,977,337,9,/997/8/567/688/695/315/453/322/337/1030/,188064,Primary somatosensory area lower limb layer 1,SSp-ll1
67,113,1004,337,9,/997/8/567/688/695/315/453/322/337/113/,188064,Primary somatosensory area lower limb layer 2/3,SSp-ll2/3
68,1094,985,337,9,/997/8/567/688/695/315/453/322/337/1094/,188064,Primary somatosensory area lower limb layer 4,SSp-ll4
69,1128,989,337,9,/997/8/567/688/695/315/453/322/337/1128/,188064,Primary somatosensory area lower limb layer 5,SSp-ll5
70,478,625,337,9,/997/8/567/688/695/315/453/322/337/478/,188064,Primary somatosensory area lower limb layer 6a,SSp-ll6a
71,510,629,337,9,/997/8/567/688/695/315/453/322/337/510/,188064,Primary somatosensory area lower limb layer 6b,SSp-ll6b
72,345,750,322,8,/997/8/567/688/695/315/453/322/345/,188064,Primary somatosensory area mouth,SSp-m
73,878,958,345,9,/997/8/567/688/695/315/453/322/345/878/,188064,Primary somatosensory area mouth layer 1,SSp-m1
74,657,1072,345,9,/997/8/567/688/695/315/453/322/345/657/,188064,Primary somatosensory area mouth layer 2/3,SSp-m2/3
75,950,967,345,9,/997/8/567/688/695/315/453/322/345/950/,188064,Primary somatosensory area mouth layer 4,SSp-m4
76,974,970,345,9,/997/8/567/688/695/315/453/322/345/974/,188064,Primary somatosensory area mouth layer 5,SSp-m5
77,1102,986,345,9,/997/8/567/688/695/315/453/322/345/1102/,188064,Primary somatosensory area mouth layer 6a,SSp-m6a
78,2,990,345,9,/997/8/567/688/695/315/453/322/345/2/,188064,Primary somatosensory area mouth layer 6b,SSp-m6b
79,369,753,322,8,/997/8/567/688/695/315/453/322/369/,188064,Primary somatosensory area upper limb,SSp-ul
80,450,1046,369,9,/997/8/567/688/695/315/453/322/369/450/,188064,Primary somatosensory area upper limb layer 1,SSp-ul1
81,854,955,369,9,/997/8/567/688/695/315/453/322/369/854/,188064,Primary somatosensory area upper limb layer 2/3,SSp-ul2/3
82,577,1062,369,9,/997/8/567/688/695/315/453/322/369/577/,188064,Primary somatosensory area upper limb layer 4,SSp-ul4
83,625,1068,369,9,/997/8/567/688/695/315/453/322/369/625/,188064,Primary somatosensory area upper limb layer 5,SSp-ul5
84,945,1108,369,9,/997/8/567/688/695/315/453/322/369/945/,188064,Primary somatosensory area upper limb layer 6a,SSp-ul6a
85,1026,1118,369,9,/997/8/567/688/695/315/453/322/369/1026/,188064,Primary somatosensory area upper limb layer 6b,SSp-ul6b
86,361,752,322,8,/997/8/567/688/695/315/453/322/361/,188064,Primary somatosensory area trunk,SSp-tr
87,1006,974,361,9,/997/8/567/688/695/315/453/322/361/1006/,188064,Primary somatosensory area trunk layer 1,SSp-tr1
88,670,649,361,9,/997/8/567/688/695/315/453/322/361/670/,188064,Primary somatosensory area trunk layer 2/3,SSp-tr2/3
89,1086,984,361,9,/997/8/567/688/695/315/453/322/361/1086/,188064,Primary somatosensory area trunk layer 4,SSp-tr4
90,1111,987,361,9,/997/8/567/688/695/315/453/322/361/1111/,188064,Primary somatosensory area trunk layer 5,SSp-tr5
91,9,991,361,9,/997/8/567/688/695/315/453/322/361/9/,188064,Primary somatosensory area trunk layer 6a,SSp-tr6a
92,461,623,361,9,/997/8/567/688/695/315/453/322/361/461/,188064,Primary somatosensory area trunk layer 6b,SSp-tr6b
93,182305689,,322,8,/997/8/567/688/695/315/453/322/182305689/,188064,Primary somatosensory area unassigned,SSp-un
94,182305693,,182305689,9,/997/8/567/688/695/315/453/322/182305689/182305693/,188064,Primary somatosensory area unassigned layer 1,SSp-un1
95,182305697,,182305689,9,/997/8/567/688/695/315/453/322/182305689/182305697/,188064,Primary somatosensory area unassigned layer 2/3,SSp-un2/3
96,182305701,,182305689,9,/997/8/567/688/695/315/453/322/182305689/182305701/,188064,Primary somatosensory area unassigned layer 4,SSp-un4
97,182305705,,182305689,9,/997/8/567/688/695/315/453/322/182305689/182305705/,188064,Primary somatosensory area unassigned layer 5,SSp-un5
98,182305709,,182305689,9,/997/8/567/688/695/315/453/322/182305689/182305709/,188064,Primary somatosensory area unassigned layer 6a,SSp-un6a
99,182305713,,182305689,9,/997/8/567/688/695/315/453/322/182305689/182305713/,188064,Primary somatosensory area unassigned layer 6b,SSp-un6b
100,378,754,453,7,/997/8/567/688/695/315/453/378/,188064,Supplemental somatosensory area,SSs
101,873,1099,378,8,/997/8/567/688/695/315/453/378/873/,188064,Supplemental somatosensory area layer 1,SSs1
102,806,949,378,8,/997/8/567/688/695/315/453/378/806/,188064,Supplemental somatosensory area layer 2/3,SSs2/3
103,1035,1119,378,8,/997/8/567/688/695/315/453/378/1035/,188064,Supplemental somatosensory area layer 4,SSs4
104,1090,1126,378,8,/997/8/567/688/695/315/453/378/1090/,188064,Supplemental somatosensory area layer 5,SSs5
105,862,956,378,8,/997/8/567/688/695/315/453/378/862/,188064,Supplemental somatosensory area layer 6a,SSs6a
106,893,960,378,8,/997/8/567/688/695/315/453/378/893/,188064,Supplemental somatosensory area layer 6b,SSs6b
107,1057,131,315,6,/997/8/567/688/695/315/1057/,009C75,Gustatory areas,GU
108,36,994,1057,7,/997/8/567/688/695/315/1057/36/,009C75,Gustatory areas layer 1,GU1
