index,id,atlas_id,name,acronym,st_level,ontology_id,hemisphere_id,weight,parent_structure_id,depth,graph_id,graph_order,structure_id_path,color_hex_triplet,neuro_name_structure_id,neuro_name_structure_id_path,failed,sphinx_id,structure_name_facet,failed_facet,safe_name,R,G,B
7,68,998,Frontal pole layer 1,FRP1,,1,3,8690,184,7,1,7,/997/8/567/688/695/315/184/68/,268F45,0,,f,8,1397862467,734881840,Frontal pole layer 1,0.149019608,0.560784314,0.270588235
13,107,1003,Somatomotor areas Layer 1,MO1,,1,3,8690,500,7,1,13,/997/8/567/688/695/315/500/107/,1F9D5A,0,,f,14,900612548,734881840,Somatomotor areas Layer 1,0.121568627,0.615686275,0.352941176
19,320,888,Primary motor area Layer 1,MOp1,,1,3,8690,985,8,1,19,/997/8/567/688/695/315/500/985/320/,1F9D5A,0,,f,20,571569106,734881840,Primary motor area Layer 1,0.121568627,0.615686275,0.352941176
25,656,930,Secondary motor area layer 1,MOs1,,1,3,8690,993,8,1,25,/997/8/567/688/695/315/500/993/656/,1F9D5A,0,,f,26,2147483647,734881840,Secondary motor area layer 1,0.121568627,0.615686275,0.352941176
31,12993,0,Somatosensory areas layer 1,SS1,,1,3,8690,453,7,1,31,/997/8/567/688/695/315/453/12993/,188064,0,,f,32,544207135,734881840,Somatosensory areas layer 1,0.094117647,0.501960784,0.392156863
38,793,1089,Primary somatosensory area layer 1,SSp1,,1,3,8690,322,8,1,38,/997/8/567/688/695/315/453/322/793/,188064,0,,f,39,1205993041,734881840,Primary somatosensory area layer 1,0.094117647,0.501960784,0.392156863
45,558,635,Primary somatosensory area nose layer 1,SSp-n1,,1,3,8690,353,9,1,45,/997/8/567/688/695/315/453/322/353/558/,188064,0,,f,46,2147483647,734881840,Primary somatosensory area nose layer 1,0.094117647,0.501960784,0.392156863
52,981,971,Primary somatosensory area barrel field layer 1,SSp-bfd1,,1,3,8690,329,9,1,52,/997/8/567/688/695/315/453/322/329/981/,188064,0,,f,53,2147483647,734881840,Primary somatosensory area barrel field layer 1,0.094117647,0.501960784,0.392156863
59,480149206,0,Rostrolateral lateral visual area layer 1,VISrll1,,1,3,8690,480149202,10,1,59,/997/8/567/688/695/315/453/322/329/480149202/480149206/,188064,0,,f,60,2147483647,734881840,Rostrolateral lateral visual area layer 1,0.094117647,0.501960784,0.392156863
66,1030,977,Primary somatosensory area lower limb layer 1,SSp-ll1,,1,3,8690,337,9,1,66,/997/8/567/688/695/315/453/322/337/1030/,188064,0,,f,67,1906118639,734881840,Primary somatosensory area lower limb layer 1,0.094117647,0.501960784,0.392156863
73,878,958,Primary somatosensory area mouth layer 1,SSp-m1,,1,3,8690,345,9,1,73,/997/8/567/688/695/315/453/322/345/878/,188064,0,,f,74,2147483647,734881840,Primary somatosensory area mouth layer 1,0.094117647,0.501960784,0.392156863
80,450,1046,Primary somatosensory area upper limb layer 1,SSp-ul1,,1,3,8690,369,9,1,80,/997/8/567/688/695/315/453/322/369/450/,188064,0,,f,81,2147483647,734881840,Primary somatosensory area upper limb layer 1,0.094117647,0.501960784,0.392156863
