index,id,atlas_id,parent_structure_id,depth,structure_id_path,color_hex_triplet,name,acronym
8,667,1073,184,7,/997/8/567/688/695/315/184/667/,268F45,Frontal pole layer 2/3,FRP2/3
14,219,1017,500,7,/997/8/567/688/695/315/500/219/,1F9D5A,Somatomotor areas Layer 2/3,MO2/3
20,943,966,985,8,/997/8/567/688/695/315/500/985/943/,1F9D5A,Primary motor area Layer 2/3,MOp2/3
26,962,1110,993,8,/997/8/567/688/695/315/500/993/962/,1F9D5A,Secondary motor area layer 2/3,MOs2/3
32,12994,,453,7,/997/8/567/688/695/315/453/12994/,188064,Somatosensory areas layer 2/3,SS2/3
39,346,1033,322,8,/997/8/567/688/695/315/453/322/346/,188064,Primary somatosensory area layer 2/3,SSp2/3
46,838,953,353,9,/997/8/567/688/695/315/453/322/353/838/,188064,Primary somatosensory area nose layer 2/3,SSp-n2/3
53,201,1015,329,9,/997/8/567/688/695/315/453/322/329/201/,188064,Primary somatosensory area barrel field layer 2/3,SSp-bfd2/3
60,480149210,,480149202,10,/997/8/567/688/695/315/453/322/329/480149202/480149210/,188064,Rostrolateral lateral visual area layer 2/3,VISrll2/3
67,113,1004,337,9,/997/8/567/688/695/315/453/322/337/113/,188064,Primary somatosensory area lower limb layer 2/3,SSp-ll2/3
74,657,1072,345,9,/997/8/567/688/695/315/453/322/345/657/,188064,Primary somatosensory area mouth layer 2/3,SSp-m2/3
81,854,955,369,9,/997/8/567/688/695/315/453/322/369/854/,188064,Primary somatosensory area upper limb layer 2/3,SSp-ul2/3
88,670,649,361,9,/997/8/567/688/695/315/453/322/361/670/,188064,Primary somatosensory area trunk layer 2/3,SSp-tr2/3
95,182305697,,182305689,9,/997/8/567/688/695/315/453/322/182305689/182305697/,188064,Primary somatosensory area unassigned layer 2/3,SSp-un2/3
102,806,949,378,8,/997/8/567/688/695/315/453/378/806/,188064,Supplemental somatosensory area layer 2/3,SSs2/3
109,180,729,1057,7,/997/8/567/688/695/315/1057/180/,009C75,Gustatory areas layer 2/3,GU2/3
116,1106,1128,677,7,/997/8/567/688/695/315/677/1106/,11AD83,Visceral area layer 2/3,VISC2/3
124,600,923,1011,8,/997/8/567/688/695/315/247/1011/600/,19399,Dorsal auditory area layer 2/3,AUDd2/3
131,480149238,,480149230,9,/997/8/567/688/695/315/247/1011/480149230/480149238/,19399,Laterolateral anterior visual area layer 2/3,VISlla2/3
138,251,1021,1002,8,/997/8/567/688/695/315/247/1002/251/,19399,Primary auditory area layer 2/3,AUDp2/3
145,643,1070,1027,8,/997/8/567/688/695/315/247/1027/643/,19399,Posterior auditory area layer 2/3,AUDpo2/3
152,755,1084,1018,8,/997/8/567/688/695/315/247/1018/755/,19399,Ventral auditory area layer 2/3,AUDv2/3
159,561,1060,669,7,/997/8/567/688/695/315/669/561/,08858C,Visual areas layer 2/3,VIS2/3
