index,id,atlas_id,name,acronym,st_level,ontology_id,hemisphere_id,weight,parent_structure_id,depth,graph_id,graph_order,structure_id_path,color_hex_triplet,neuro_name_structure_id,neuro_name_structure_id_path,failed,sphinx_id,structure_name_facet,failed_facet,safe_name,R,G,B
10,526157196,0,Frontal pole layer 6a,FRP6a,,1,3,8690,184,7,1,10,/997/8/567/688/695/315/184/526157196/,268F45,0,,f,11,1215326494,734881840,Frontal pole layer 6a,0.149019608,0.560784314,0.270588235
16,644,787,Somatomotor areas Layer 6a,MO6a,,1,3,8690,500,7,1,16,/997/8/567/688/695/315/500/644/,1F9D5A,0,,f,17,1003126892,734881840,Somatomotor areas Layer 6a,0.121568627,0.615686275,0.352941176
22,844,1095,Primary motor area Layer 6a,MOp6a,,1,3,8690,985,8,1,22,/997/8/567/688/695/315/500/985/844/,1F9D5A,0,,f,23,2147483647,734881840,Primary motor area Layer 6a,0.121568627,0.615686275,0.352941176
28,1021,1117,Secondary motor area layer 6a,MOs6a,,1,3,8690,993,8,1,28,/997/8/567/688/695/315/500/993/1021/,1F9D5A,0,,f,29,2147483647,734881840,Secondary motor area layer 6a,0.121568627,0.615686275,0.352941176
35,12997,0,Somatosensory areas layer 6a,SS6a,,1,3,8690,453,7,1,35,/997/8/567/688/695/315/453/12997/,188064,0,,f,36,719211136,734881840,Somatosensory areas layer 6a,0.094117647,0.501960784,0.392156863
42,686,934,Primary somatosensory area layer 6a,SSp6a,,1,3,8690,322,8,1,42,/997/8/567/688/695/315/453/322/686/,188064,0,,f,43,2147483647,734881840,Primary somatosensory area layer 6a,0.094117647,0.501960784,0.392156863
49,889,1101,Primary somatosensory area nose layer 6a,SSp-n6a,,1,3,8690,353,9,1,49,/997/8/567/688/695/315/453/322/353/889/,188064,0,,f,50,2147483647,734881840,Primary somatosensory area nose layer 6a,0.094117647,0.501960784,0.392156863
56,1038,978,Primary somatosensory area barrel field layer 6a,SSp-bfd6a,,1,3,8690,329,9,1,56,/997/8/567/688/695/315/453/322/329/1038/,188064,0,,f,57,2147483647,734881840,Primary somatosensory area barrel field layer 6a,0.094117647,0.501960784,0.392156863
63,480149222,0,Rostrolateral lateral visual area layer 6a,VISrll6a,,1,3,8690,480149202,10,1,63,/997/8/567/688/695/315/453/322/329/480149202/480149222/,188064,0,,f,64,160753723,734881840,Rostrolateral lateral visual area layer 6a,0.094117647,0.501960784,0.392156863
70,478,625,Primary somatosensory area lower limb layer 6a,SSp-ll6a,,1,3,8690,337,9,1,70,/997/8/567/688/695/315/453/322/337/478/,188064,0,,f,71,2147483647,734881840,Primary somatosensory area lower limb layer 6a,0.094117647,0.501960784,0.392156863
77,1102,986,Primary somatosensory area mouth layer 6a,SSp-m6a,,1,3,8690,345,9,1,77,/997/8/567/688/695/315/453/322/345/1102/,188064,0,,f,78,2147483647,734881840,Primary somatosensory area mouth layer 6a,0.094117647,0.501960784,0.392156863
84,945,1108,Primary somatosensory area upper limb layer 6a,SSp-ul6a,,1,3,8690,369,9,1,84,/997/8/567/688/695/315/453/322/369/945/,188064,0,,f,85,2147483647,734881840,Primary somatosensory area upper limb layer 6a,0.094117647,0.501960784,0.392156863
91,9,991,Primary somatosensory area trunk layer 6a,SSp-tr6a,,1,3,8690,361,9,1,91,/997/8/567/688/695/315/453/322/361/9/,188064,0,,f,92,1364764776,734881840,Primary somatosensory area trunk layer 6a,0.094117647,0.501960784,0.392156863
98,182305709,0,Primary somatosensory area unassigned layer 6a,SSp-un6a,,1,3,8690,182305689,9,1,98,/997/8/567/688/695/315/453/322/182305689/182305709/,188064,0,,f,99,2147483647,734881840,Primary somatosensory area unassigned layer 6a,0.094117647,0.501960784,0.392156863
105,862,956,Supplemental somatosensory area layer 6a,SSs6a,,1,3,8690,378,8,1,105,/997/8/567/688/695/315/453/378/862/,188064,0,,f,106,1835367775,734881840,Supplemental somatosensory area layer 6a,0.094117647,0.501960784,0.392156863
112,638,645,Gustatory areas layer 6a,GU6a,,1,3,8690,1057,7,1,112,/997/8/567/688/695/315/1057/638/,009C75,0,,f,113,2147483647,734881840,Gustatory areas layer 6a,0,0.611764706,0.458823529
119,857,1097,Visceral area layer 6a,VISC6a,,1,3,8690,677,7,1,119,/997/8/567/688/695/315/677/857/,11AD83,0,,f,120,1023764080,734881840,Visceral area layer 6a,0.066666667,0.678431373,0.51372549
