index,id,atlas_id,name,acronym,st_level,ontology_id,hemisphere_id,weight,parent_structure_id,depth,graph_id,graph_order,structure_id_path,color_hex_triplet,neuro_name_structure_id,neuro_name_structure_id_path,failed,sphinx_id,structure_name_facet,failed_facet,safe_name,R,G,B
11,526322264,0,Frontal pole layer 6b,FRP6b,,1,3,8690,184,7,1,11,/997/8/567/688/695/315/184/526322264/,268F45,0,,f,12,2147483647,734881840,Frontal pole layer 6b,0.149019608,0.560784314,0.270588235
17,947,825,Somatomotor areas Layer 6b,MO6b,,1,3,8690,500,7,1,17,/997/8/567/688/695/315/500/947/,1F9D5A,0,,f,18,2147483647,734881840,Somatomotor areas Layer 6b,0.121568627,0.615686275,0.352941176
23,882,1100,Primary motor area Layer 6b,MOp6b,,1,3,8690,985,8,1,23,/997/8/567/688/695/315/500/985/882/,1F9D5A,0,,f,24,1442896821,734881840,Primary motor area Layer 6b,0.121568627,0.615686275,0.352941176
29,1085,1125,Secondary motor area layer 6b,MOs6b,,1,3,8690,993,8,1,29,/997/8/567/688/695/315/500/993/1085/,1F9D5A,0,,f,30,1225271489,734881840,Secondary motor area layer 6b,0.121568627,0.615686275,0.352941176
36,12998,0,Somatosensory areas layer 6b,SS6b,,1,3,8690,453,7,1,36,/997/8/567/688/695/315/453/12998/,188064,0,,f,37,2147483647,734881840,Somatosensory areas layer 6b,0.094117647,0.501960784,0.392156863
43,719,938,Primary somatosensory area layer 6b,SSp6b,,1,3,8690,322,8,1,43,/997/8/567/688/695/315/453/322/719/,188064,0,,f,44,584382882,734881840,Primary somatosensory area layer 6b,0.094117647,0.501960784,0.392156863
50,929,1106,Primary somatosensory area nose layer 6b,SSp-n6b,,1,3,8690,353,9,1,50,/997/8/567/688/695/315/453/322/353/929/,188064,0,,f,51,1588026147,734881840,Primary somatosensory area nose layer 6b,0.094117647,0.501960784,0.392156863
57,1062,981,Primary somatosensory area barrel field layer 6b,SSp-bfd6b,,1,3,8690,329,9,1,57,/997/8/567/688/695/315/453/322/329/1062/,188064,0,,f,58,455984295,734881840,Primary somatosensory area barrel field layer 6b,0.094117647,0.501960784,0.392156863
64,480149226,0,Rostrolateral lateral visual area layer 6b,VISrll6b,,1,3,8690,480149202,10,1,64,/997/8/567/688/695/315/453/322/329/480149202/480149226/,188064,0,,f,65,2147483647,734881840,Rostrolateral lateral visual area layer 6b,0.094117647,0.501960784,0.392156863
71,510,629,Primary somatosensory area lower limb layer 6b,SSp-ll6b,,1,3,8690,337,9,1,71,/997/8/567/688/695/315/453/322/337/510/,188064,0,,f,72,238754776,734881840,Primary somatosensory area lower limb layer 6b,0.094117647,0.501960784,0.392156863
78,2,990,Primary somatosensory area mouth layer 6b,SSp-m6b,,1,3,8690,345,9,1,78,/997/8/567/688/695/315/453/322/345/2/,188064,0,,f,79,1425070870,734881840,Primary somatosensory area mouth layer 6b,0.094117647,0.501960784,0.392156863
85,1026,1118,Primary somatosensory area upper limb layer 6b,SSp-ul6b,,1,3,8690,369,9,1,85,/997/8/567/688/695/315/453/322/369/1026/,188064,0,,f,86,997472564,734881840,Primary somatosensory area upper limb layer 6b,0.094117647,0.501960784,0.392156863
92,461,623,Primary somatosensory area trunk layer 6b,SSp-tr6b,,1,3,8690,361,9,1,92,/997/8/567/688/695/315/453/322/361/461/,188064,0,,f,93,2147483647,734881840,Primary somatosensory area trunk layer 6b,0.094117647,0.501960784,0.392156863
99,182305713,0,Primary somatosensory area unassigned layer 6b,SSp-un6b,,1,3,8690,182305689,9,1,99,/997/8/567/688/695/315/453/322/182305689/182305713/,188064,0,,f,100,1529046678,734881840,Primary somatosensory area unassigned layer 6b,0.094117647,0.501960784,0.392156863
106,893,960,Supplemental somatosensory area layer 6b,SSs6b,,1,3,8690,378,8,1,106,/997/8/567/688/695/315/453/378/893/,188064,0,,f,107,2147483647,734881840,Supplemental somatosensory area layer 6b,0.094117647,0.501960784,0.392156863
113,662,648,Gustatory areas layer 6b,GU6b,,1,3,8690,1057,7,1,113,/997/8/567/688/695/315/1057/662/,009C75,0,,f,114,1086554447,734881840,Gustatory areas layer 6b,0,0.611764706,0.458823529
120,849,1096,Visceral area layer 6b,VISC6b,,1,3,8690,677,7,1,120,/997/8/567/688/695/315/677/849/,11AD83,0,,f,121,2147483647,734881840,Visceral area layer 6b,0.066666667,0.678431373,0.51372549
