index,id,atlas_id,name,acronym,st_level,ontology_id,hemisphere_id,weight,parent_structure_id,depth,graph_id,graph_order,structure_id_path,color_hex_triplet,neuro_name_structure_id,neuro_name_structure_id_path,failed,sphinx_id,structure_name_facet,failed_facet,safe_name,R,G,B
121,247,30,Auditory areas,AUD,,1,3,8690,315,6,1,121,/997/8/567/688/695/315/247/,19399,0,,f,122,2147483647,734881840,Auditory areas,0.003921569,0.576470588,0.6
122,1011,833,Dorsal auditory area,AUDd,,1,3,8690,247,7,1,122,/997/8/567/688/695/315/247/1011/,19399,0,,f,123,2147483647,734881840,Dorsal auditory area,0.003921569,0.576470588,0.6
123,527,631,Dorsal auditory area layer 1,AUDd1,,1,3,8690,1011,8,1,123,/997/8/567/688/695/315/247/1011/527/,19399,0,,f,124,2147483647,734881840,Dorsal auditory area layer 1,0.003921569,0.576470588,0.6
124,600,923,Dorsal auditory area layer 2/3,AUDd2/3,,1,3,8690,1011,8,1,124,/997/8/567/688/695/315/247/1011/600/,19399,0,,f,125,2147483647,734881840,Dorsal auditory area layer 2/3,0.003921569,0.576470588,0.6
125,678,650,Dorsal auditory area layer 4,AUDd4,,1,3,8690,1011,8,1,125,/997/8/567/688/695/315/247/1011/678/,19399,0,,f,126,2147483647,734881840,Dorsal auditory area layer 4,0.003921569,0.576470588,0.6
126,252,738,Dorsal auditory area layer 5,AUDd5,,1,3,8690,1011,8,1,126,/997/8/567/688/695/315/247/1011/252/,19399,0,,f,127,2147483647,734881840,Dorsal auditory area layer 5,0.003921569,0.576470588,0.6
127,156,1009,Dorsal auditory area layer 6a,AUDd6a,,1,3,8690,1011,8,1,127,/997/8/567/688/695/315/247/1011/156/,19399,0,,f,128,2147483647,734881840,Dorsal auditory area layer 6a,0.003921569,0.576470588,0.6
128,243,1020,Dorsal auditory area layer 6b,AUDd6b,,1,3,8690,1011,8,1,128,/997/8/567/688/695/315/247/1011/243/,19399,0,,f,129,223713961,734881840,Dorsal auditory area layer 6b,0.003921569,0.576470588,0.6
129,480149230,0,Laterolateral anterior visual area,VISlla,,1,3,8690,1011,8,1,129,/997/8/567/688/695/315/247/1011/480149230/,19399,0,,f,130,2147483647,734881840,Laterolateral anterior visual area,0.003921569,0.576470588,0.6
130,480149234,0,Laterolateral anterior visual area layer 1,VISlla1,,1,3,8690,480149230,9,1,130,/997/8/567/688/695/315/247/1011/480149230/480149234/,19399,0,,f,131,1340972930,734881840,Laterolateral anterior visual area layer 1,0.003921569,0.576470588,0.6
131,480149238,0,Laterolateral anterior visual area layer 2/3,VISlla2/3,,1,3,8690,480149230,9,1,131,/997/8/567/688/695/315/247/1011/480149230/480149238/,19399,0,,f,132,2147483647,734881840,Laterolateral anterior visual area layer 2/3,0.003921569,0.576470588,0.6
132,480149242,0,Laterolateral anterior visual area layer 4,VISlla4,,1,3,8690,480149230,9,1,132,/997/8/567/688/695/315/247/1011/480149230/480149242/,19399,0,,f,133,1065839373,734881840,Laterolateral anterior visual area layer 4,0.003921569,0.576470588,0.6
133,480149246,0,Laterolateral anterior visual arealayer 5,VISlla5,,1,3,8690,480149230,9,1,133,/997/8/567/688/695/315/247/1011/480149230/480149246/,19399,0,,f,134,2147483647,734881840,Laterolateral anterior visual arealayer 5,0.003921569,0.576470588,0.6
134,480149250,0,Laterolateral anterior visual area layer 6a,VISlla6a,,1,3,8690,480149230,9,1,134,/997/8/567/688/695/315/247/1011/480149230/480149250/,19399,0,,f,135,2147483647,734881840,Laterolateral anterior visual area layer 6a,0.003921569,0.576470588,0.6
135,480149254,0,Laterolateral anterior visual area layer 6b,VISlla6b,,1,3,8690,480149230,9,1,135,/997/8/567/688/695/315/247/1011/480149230/480149254/,19399,0,,f,136,1023833773,734881840,Laterolateral anterior visual area layer 6b,0.003921569,0.576470588,0.6
136,1002,832,Primary auditory area,AUDp,,1,3,8690,247,7,1,136,/997/8/567/688/695/315/247/1002/,19399,0,,f,137,760301534,734881840,Primary auditory area,0.003921569,0.576470588,0.6
137,735,940,Primary auditory area layer 1,AUDp1,,1,3,8690,1002,8,1,137,/997/8/567/688/695/315/247/1002/735/,19399,0,,f,138,340215110,734881840,Primary auditory area layer 1,0.003921569,0.576470588,0.6
138,251,1021,Primary auditory area layer 2/3,AUDp2/3,,1,3,8690,1002,8,1,138,/997/8/567/688/695/315/247/1002/251/,19399,0,,f,139,1321647110,734881840,Primary auditory area layer 2/3,0.003921569,0.576470588,0.6
139,816,950,Primary auditory area layer 4,AUDp4,,1,3,8690,1002,8,1,139,/997/8/567/688/695/315/247/1002/816/,19399,0,,f,140,1680716233,734881840,Primary auditory area layer 4,0.003921569,0.576470588,0.6
140,847,954,Primary auditory area layer 5,AUDp5,,1,3,8690,1002,8,1,140,/997/8/567/688/695/315/247/1002/847/,19399,0,,f,141,321552735,734881840,Primary auditory area layer 5,0.003921569,0.576470588,0.6
141,954,1109,Primary auditory area layer 6a,AUDp6a,,1,3,8690,1002,8,1,141,/997/8/567/688/695/315/247/1002/954/,19399,0,,f,142,945654628,734881840,Primary auditory area layer 6a,0.003921569,0.576470588,0.6
142,1005,1115,Primary auditory area layer 6b,AUDp6b,,1,3,8690,1002,8,1,142,/997/8/567/688/695/315/247/1002/1005/,19399,0,,f,143,2147483647,734881840,Primary auditory area layer 6b,0.003921569,0.576470588,0.6
143,1027,835,Posterior auditory area,AUDpo,,1,3,8690,247,7,1,143,/997/8/567/688/695/315/247/1027/,19399,0,,f,144,57661303,734881840,Posterior auditory area,0.003921569,0.576470588,0.6
144,696,935,Posterior auditory area layer 1,AUDpo1,,1,3,8690,1027,8,1,144,/997/8/567/688/695/315/247/1027/696/,19399,0,,f,145,235681893,734881840,Posterior auditory area layer 1,0.003921569,0.576470588,0.6
145,643,1070,Posterior auditory area layer 2/3,AUDpo2/3,,1,3,8690,1027,8,1,145,/997/8/567/688/695/315/247/1027/643/,19399,0,,f,146,2147483647,734881840,Posterior auditory area layer 2/3,0.003921569,0.576470588,0.6
146,759,943,Posterior auditory area layer 4,AUDpo4,,1,3,8690,1027,8,1,146,/997/8/567/688/695/315/247/1027/759/,19399,0,,f,147,2120666346,734881840,Posterior auditory area layer 4,0.003921569,0.576470588,0.6
147,791,947,Posterior auditory area layer 5,AUDpo5,,1,3,8690,1027,8,1,147,/997/8/567/688/695/315/247/1027/791/,19399,0,,f,148,157416572,734881840,Posterior auditory area layer 5,0.003921569,0.576470588,0.6
148,249,455,Posterior auditory area layer 6a,AUDpo6a,,1,3,8690,1027,8,1,148,/997/8/567/688/695/315/247/1027/249/,19399,0,,f,149,2147483647,734881840,Posterior auditory area layer 6a,0.003921569,0.576470588,0.6
149,456,622,Posterior auditory area layer 6b,AUDpo6b,,1,3,8690,1027,8,1,149,/997/8/567/688/695/315/247/1027/456/,19399,0,,f,150,53076177,734881840,Posterior auditory area layer 6b,0.003921569,0.576470588,0.6
150,1018,834,Ventral auditory area,AUDv,,1,3,8690,247,7,1,150,/997/8/567/688/695/315/247/1018/,19399,0,,f,151,2147483647,734881840,Ventral auditory area,0.003921569,0.576470588,0.6
151,959,968,Ventral auditory area layer 1,AUDv1,,1,3,8690,1018,8,1,151,/997/8/567/688/695/315/247/1018/959/,19399,0,,f,152,2147483647,734881840,Ventral auditory area layer 1,0.003921569,0.576470588,0.6
152,755,1084,Ventral auditory area layer 2/3,AUDv2/3,,1,3,8690,1018,8,1,152,/997/8/567/688/695/315/247/1018/755/,19399,0,,f,153,2147483647,734881840,Ventral auditory area layer 2/3,0.003921569,0.576470588,0.6
153,990,972,Ventral auditory area layer 4,AUDv4,,1,3,8690,1018,8,1,153,/997/8/567/688/695/315/247/1018/990/,19399,0,,f,154,2147483647,734881840,Ventral auditory area layer 4,0.003921569,0.576470588,0.6
154,1023,976,Ventral auditory area layer 5,AUDv5,,1,3,8690,1018,8,1,154,/997/8/567/688/695/315/247/1018/1023/,19399,0,,f,155,2147483647,734881840,Ventral auditory area layer 5,0.003921569,0.576470588,0.6
155,520,630,Ventral auditory area layer 6a,AUDv6a,,1,3,8690,1018,8,1,155,/997/8/567/688/695/315/247/1018/520/,19399,0,,f,156,2147483647,734881840,Ventral auditory area layer 6a,0.003921569,0.576470588,0.6
156,598,640,Ventral auditory area layer 6b,AUDv6b,,1,3,8690,1018,8,1,156,/997/8/567/688/695/315/247/1018/598/,19399,0,,f,157,142352995,734881840,Ventral auditory area layer 6b,0.003921569,0.576470588,0.6
