index,id,atlas_id,name,acronym,st_level,ontology_id,hemisphere_id,weight,parent_structure_id,depth,graph_id,graph_order,structure_id_path,color_hex_triplet,neuro_name_structure_id,neuro_name_structure_id_path,failed,sphinx_id,structure_name_facet,failed_facet,safe_name,R,G,B
339,22,285,Posterior parietal association areas,PTLp,,1,3,8690,315,6,1,339,/997/8/567/688/695/315/22/,009FAC,0,,f,340,2147483647,734881840,Posterior parietal association areas,0,0.623529412,0.674509804
340,532,1056,Posterior parietal association areas layer 1,PTLp1,,1,3,8690,22,7,1,340,/997/8/567/688/695/315/22/532/,009FAC,0,,f,341,1126558061,734881840,Posterior parietal association areas layer 1,0,0.623529412,0.674509804
341,241,454,Posterior parietal association areas layer 2/3,PTLp2/3,,1,3,8690,22,7,1,341,/997/8/567/688/695/315/22/241/,009FAC,0,,f,342,2147483647,734881840,Posterior parietal association areas layer 2/3,0,0.623529412,0.674509804
342,635,1069,Posterior parietal association areas layer 4,PTLp4,,1,3,8690,22,7,1,342,/997/8/567/688/695/315/22/635/,009FAC,0,,f,343,860823010,734881840,Posterior parietal association areas layer 4,0,0.623529412,0.674509804
343,683,1075,Posterior parietal association areas layer 5,PTLp5,,1,3,8690,22,7,1,343,/997/8/567/688/695/315/22/683/,009FAC,0,,f,344,1145580916,734881840,Posterior parietal association areas layer 5,0,0.623529412,0.674509804
344,308,1028,Posterior parietal association areas layer 6a,PTLp6a,,1,3,8690,22,7,1,344,/997/8/567/688/695/315/22/308/,009FAC,0,,f,345,2147483647,734881840,Posterior parietal association areas layer 6a,0,0.623529412,0.674509804
345,340,1032,Posterior parietal association areas layer 6b,PTLp6b,,1,3,8690,22,7,1,345,/997/8/567/688/695/315/22/340/,009FAC,0,,f,346,230637874,734881840,Posterior parietal association areas layer 6b,0,0.623529412,0.674509804
346,312782546,0,Anterior area,VISa,,1,3,8690,22,7,1,346,/997/8/567/688/695/315/22/312782546/,009FAC,0,,f,347,2147483647,734881840,Anterior area,0,0.623529412,0.674509804
347,312782550,0,Anterior area layer 1,VISa1,,1,3,8690,312782546,8,1,347,/997/8/567/688/695/315/22/312782546/312782550/,009FAC,0,,f,348,10340068,734881840,Anterior area layer 1,0,0.623529412,0.674509804
348,312782554,0,Anterior area layer 2/3,VISa2/3,,1,3,8690,312782546,8,1,348,/997/8/567/688/695/315/22/312782546/312782554/,009FAC,0,,f,349,2147483647,734881840,Anterior area layer 2/3,0,0.623529412,0.674509804
349,312782558,0,Anterior area layer 4,VISa4,,1,3,8690,312782546,8,1,349,/997/8/567/688/695/315/22/312782546/312782558/,009FAC,0,,f,350,1895248491,734881840,Anterior area layer 4,0,0.623529412,0.674509804
350,312782562,0,Anterior area layer 5,VISa5,,1,3,8690,312782546,8,1,350,/997/8/567/688/695/315/22/312782546/312782562/,009FAC,0,,f,351,133169917,734881840,Anterior area layer 5,0,0.623529412,0.674509804
351,312782566,0,Anterior area layer 6a,VISa6a,,1,3,8690,312782546,8,1,351,/997/8/567/688/695/315/22/312782546/312782566/,009FAC,0,,f,352,9540387,734881840,Anterior area layer 6a,0,0.623529412,0.674509804
352,312782570,0,Anterior area layer 6b,VISa6b,,1,3,8690,312782546,8,1,352,/997/8/567/688/695/315/22/312782546/312782570/,009FAC,0,,f,353,2147483647,734881840,Anterior area layer 6b,0,0.623529412,0.674509804
353,417,759,Rostrolateral visual area,VISrl,,1,3,8690,22,7,1,353,/997/8/567/688/695/315/22/417/,009FAC,0,,f,354,1848950861,734881840,Rostrolateral visual area,0,0.623529412,0.674509804
354,312782604,0,Rostrolateral area layer 1,VISrl1,,1,3,8690,417,8,1,354,/997/8/567/688/695/315/22/417/312782604/,009FAC,0,,f,355,2147483647,734881840,Rostrolateral area layer 1,0,0.623529412,0.674509804
355,312782608,0,Rostrolateral area layer 2/3,VISrl2/3,,1,3,8690,417,8,1,355,/997/8/567/688/695/315/22/417/312782608/,009FAC,0,,f,356,1695598268,734881840,Rostrolateral area layer 2/3,0,0.623529412,0.674509804
356,312782612,0,Rostrolateral area layer 4,VISrl4,,1,3,8690,417,8,1,356,/997/8/567/688/695/315/22/417/312782612/,009FAC,0,,f,357,2147483647,734881840,Rostrolateral area layer 4,0,0.623529412,0.674509804
357,312782616,0,Rostrolateral area layer 5,VISrl5,,1,3,8690,417,8,1,357,/997/8/567/688/695/315/22/417/312782616/,009FAC,0,,f,358,2147483647,734881840,Rostrolateral area layer 5,0,0.623529412,0.674509804
358,312782620,0,Rostrolateral area layer 6a,VISrl6a,,1,3,8690,417,8,1,358,/997/8/567/688/695/315/22/417/312782620/,009FAC,0,,f,359,1518183390,734881840,Rostrolateral area layer 6a,0,0.623529412,0.674509804
359,312782624,0,Rostrolateral area layer 6b,VISrl6b,,1,3,8690,417,8,1,359,/997/8/567/688/695/315/22/417/312782624/,009FAC,0,,f,360,2147483647,734881840,Rostrolateral area layer 6b,0,0.623529412,0.674509804
