index,id,atlas_id,name,acronym,st_level,ontology_id,hemisphere_id,weight,parent_structure_id,depth,graph_id,graph_order,structure_id_path,color_hex_triplet,neuro_name_structure_id,neuro_name_structure_id_path,failed,sphinx_id,structure_name_facet,failed_facet,safe_name,R,G,B
297,254,314,Retrosplenial area,RSP,,1,3,8690,315,6,1,297,/997/8/567/688/695/315/254/,1AA698,0,,f,298,2130272923,734881840,Retrosplenial area,0.101960784,0.650980392,0.596078431
298,894,394,Retrosplenial area lateral agranular part,RSPagl,,1,3,8690,254,7,1,298,/997/8/567/688/695/315/254/894/,1AA698,0,,f,299,2147483647,734881840,Retrosplenial area lateral agranular part,0.101960784,0.650980392,0.596078431
299,671,932,Retrosplenial area lateral agranular part layer 1,RSPagl1,,1,3,8690,894,8,1,299,/997/8/567/688/695/315/254/894/671/,1AA698,0,,f,300,149448588,734881840,Retrosplenial area lateral agranular part layer 1,0.101960784,0.650980392,0.596078431
300,965,969,Retrosplenial area lateral agranular part layer 2/3,RSPagl2/3,,1,3,8690,894,8,1,300,/997/8/567/688/695/315/254/894/965/,1AA698,0,,f,301,2147483647,734881840,Retrosplenial area lateral agranular part layer 2/3,0.101960784,0.650980392,0.596078431
301,774,945,Retrosplenial area lateral agranular part layer 5,RSPagl5,,1,3,8690,894,8,1,301,/997/8/567/688/695/315/254/894/774/,1AA698,0,,f,302,260416405,734881840,Retrosplenial area lateral agranular part layer 5,0.101960784,0.650980392,0.596078431
302,906,820,Retrosplenial area lateral agranular part layer 6a,RSPagl6a,,1,3,8690,894,8,1,302,/997/8/567/688/695/315/254/894/906/,1AA698,0,,f,303,1139806184,734881840,Retrosplenial area lateral agranular part layer 6a,0.101960784,0.650980392,0.596078431
303,279,883,Retrosplenial area lateral agranular part layer 6b,RSPagl6b,,1,3,8690,894,8,1,303,/997/8/567/688/695/315/254/894/279/,1AA698,0,,f,304,2147483647,734881840,Retrosplenial area lateral agranular part layer 6b,0.101960784,0.650980392,0.596078431
304,480149258,0,Mediomedial anterior visual area,VISmma,,1,3,8690,894,8,1,304,/997/8/567/688/695/315/254/894/480149258/,1AA698,0,,f,305,1884752328,734881840,Mediomedial anterior visual area,0.101960784,0.650980392,0.596078431
305,480149262,0,Mediomedial anterior visual area layer 1,VISmma1,,1,3,8690,480149258,9,1,305,/997/8/567/688/695/315/254/894/480149258/480149262/,1AA698,0,,f,306,2147483647,734881840,Mediomedial anterior visual area layer 1,0.101960784,0.650980392,0.596078431
306,480149266,0,Mediomedial anterior visual area layer 2/3,VISmma2/3,,1,3,8690,480149258,9,1,306,/997/8/567/688/695/315/254/894/480149258/480149266/,1AA698,0,,f,307,2147483647,734881840,Mediomedial anterior visual area layer 2/3,0.101960784,0.650980392,0.596078431
307,480149270,0,Mediomedial anterior visual area layer 4,VISmma4,,1,3,8690,480149258,9,1,307,/997/8/567/688/695/315/254/894/480149258/480149270/,1AA698,0,,f,308,2147483647,734881840,Mediomedial anterior visual area layer 4,0.101960784,0.650980392,0.596078431
308,480149274,0,Mediomedial anterior visual arealayer 5,VISmma5,,1,3,8690,480149258,9,1,308,/997/8/567/688/695/315/254/894/480149258/480149274/,1AA698,0,,f,309,1197199171,734881840,Mediomedial anterior visual arealayer 5,0.101960784,0.650980392,0.596078431
309,480149278,0,Mediomedial anterior visual area layer 6a,VISmma6a,,1,3,8690,480149258,9,1,309,/997/8/567/688/695/315/254/894/480149258/480149278/,1AA698,0,,f,310,139480659,734881840,Mediomedial anterior visual area layer 6a,0.101960784,0.650980392,0.596078431
310,480149282,0,Mediomedial anterior visual area layer 6b,VISmma6b,,1,3,8690,480149258,9,1,310,/997/8/567/688/695/315/254/894/480149258/480149282/,1AA698,0,,f,311,2147483647,734881840,Mediomedial anterior visual area layer 6b,0.101960784,0.650980392,0.596078431
311,480149286,0,Mediomedial posterior visual area,VISmmp,,1,3,8690,894,8,1,311,/997/8/567/688/695/315/254/894/480149286/,1AA698,0,,f,312,1089292433,734881840,Mediomedial posterior visual area,0.101960784,0.650980392,0.596078431
312,480149290,0,Mediomedial posterior visual area layer 1,VISmmp1,,1,3,8690,480149286,9,1,312,/997/8/567/688/695/315/254/894/480149286/480149290/,1AA698,0,,f,313,504923420,734881840,Mediomedial posterior visual area layer 1,0.101960784,0.650980392,0.596078431
313,480149294,0,Mediomedial posterior visual area layer 2/3,VISmmp2/3,,1,3,8690,480149286,9,1,313,/997/8/567/688/695/315/254/894/480149286/480149294/,1AA698,0,,f,314,2147483647,734881840,Mediomedial posterior visual area layer 2/3,0.101960784,0.650980392,0.596078431
314,480149298,0,Mediomedial posterior visual area layer 4,VISmmp4,,1,3,8690,480149286,9,1,314,/997/8/567/688/695/315/254/894/480149286/480149298/,1AA698,0,,f,315,1852993939,734881840,Mediomedial posterior visual area layer 4,0.101960784,0.650980392,0.596078431
315,480149302,0,Mediomedial posterior visual arealayer 5,VISmmp5,,1,3,8690,480149286,9,1,315,/997/8/567/688/695/315/254/894/480149286/480149302/,1AA698,0,,f,316,2147483647,734881840,Mediomedial posterior visual arealayer 5,0.101960784,0.650980392,0.596078431
316,480149306,0,Mediomedial posterior visual area layer 6a,VISmmp6a,,1,3,8690,480149286,9,1,316,/997/8/567/688/695/315/254/894/480149286/480149306/,1AA698,0,,f,317,2147483647,734881840,Mediomedial posterior visual area layer 6a,0.101960784,0.650980392,0.596078431
317,480149310,0,Mediomedial posterior visual area layer 6b,VISmmp6b,,1,3,8690,480149286,9,1,317,/997/8/567/688/695/315/254/894/480149286/480149310/,1AA698,0,,f,318,719338996,734881840,Mediomedial posterior visual area layer 6b,0.101960784,0.650980392,0.596078431
318,480149314,0,Medial visual area,VISm,,1,3,8690,894,8,1,318,/997/8/567/688/695/315/254/894/480149314/,1AA698,0,,f,319,2147483647,734881840,Medial visual area,0.101960784,0.650980392,0.596078431
319,480149318,0,Medial visual area layer 1,VISm1,,1,3,8690,480149314,9,1,319,/997/8/567/688/695/315/254/894/480149314/480149318/,1AA698,0,,f,320,1653035992,734881840,Medial visual area layer 1,0.101960784,0.650980392,0.596078431
320,480149322,0,Medial visual area layer 2/3,VISm2/3,,1,3,8690,480149314,9,1,320,/997/8/567/688/695/315/254/894/480149314/480149322/,1AA698,0,,f,321,1439750147,734881840,Medial visual area layer 2/3,0.101960784,0.650980392,0.596078431
321,480149326,0,Medial visual area layer 4,VISm4,,1,3,8690,480149314,9,1,321,/997/8/567/688/695/315/254/894/480149314/480149326/,1AA698,0,,f,322,317564759,734881840,Medial visual area layer 4,0.101960784,0.650980392,0.596078431
322,480149330,0,Medial visual arealayer 5,VISm5,,1,3,8690,480149314,9,1,322,/997/8/567/688/695/315/254/894/480149314/480149330/,1AA698,0,,f,323,2147483647,734881840,Medial visual arealayer 5,0.101960784,0.650980392,0.596078431
323,480149334,0,Medial visual area layer 6a,VISm6a,,1,3,8690,480149314,9,1,323,/997/8/567/688/695/315/254/894/480149314/480149334/,1AA698,0,,f,324,798815537,734881840,Medial visual area layer 6a,0.101960784,0.650980392,0.596078431
324,480149338,0,Medial visual area layer 6b,VISm6b,,1,3,8690,480149314,9,1,324,/997/8/567/688/695/315/254/894/480149314/480149338/,1AA698,0,,f,325,2147483647,734881840,Medial visual area layer 6b,0.101960784,0.650980392,0.596078431
325,879,392,Retrosplenial area dorsal part,RSPd,,1,3,8690,254,7,1,325,/997/8/567/688/695/315/254/879/,1AA698,0,,f,326,1698653345,734881840,Retrosplenial area dorsal part,0.101960784,0.650980392,0.596078431
326,442,1045,Retrosplenial area dorsal part layer 1,RSPd1,,1,3,8690,879,8,1,326,/997/8/567/688/695/315/254/879/442/,1AA698,0,,f,327,2147483647,734881840,Retrosplenial area dorsal part layer 1,0.101960784,0.650980392,0.596078431
327,434,761,Retrosplenial area dorsal part layer 2/3,RSPd2/3,,1,3,8690,879,8,1,327,/997/8/567/688/695/315/254/879/434/,1AA698,0,,f,328,1081955810,734881840,Retrosplenial area dorsal part layer 2/3,0.101960784,0.650980392,0.596078431
328,545,1058,Retrosplenial area dorsal part layer 4,RSPd4,,1,3,8690,879,8,1,328,/997/8/567/688/695/315/254/879/545/,1AA698,0,,f,329,2147483647,734881840,Retrosplenial area dorsal part layer 4,0.101960784,0.650980392,0.596078431
329,610,1066,Retrosplenial area dorsal part layer 5,RSPd5,,1,3,8690,879,8,1,329,/997/8/567/688/695/315/254/879/610/,1AA698,0,,f,330,2147483647,734881840,Retrosplenial area dorsal part layer 5,0.101960784,0.650980392,0.596078431
330,274,1024,Retrosplenial area dorsal part layer 6a,RSPd6a,,1,3,8690,879,8,1,330,/997/8/567/688/695/315/254/879/274/,1AA698,0,,f,331,1480351084,734881840,Retrosplenial area dorsal part layer 6a,0.101960784,0.650980392,0.596078431
