index,id,atlas_id,name,acronym,st_level,ontology_id,hemisphere_id,weight,parent_structure_id,depth,graph_id,graph_order,structure_id_path,color_hex_triplet,neuro_name_structure_id,neuro_name_structure_id_path,failed,sphinx_id,structure_name_facet,failed_facet,safe_name,R,G,B
30,453,339,Somatosensory areas,SS,,1,3,8690,315,6,1,30,/997/8/567/688/695/315/453/,188064,0,,f,31,2147483647,734881840,Somatosensory areas,0.094117647,0.501960784,0.392156863
31,12993,0,Somatosensory areas layer 1,SS1,,1,3,8690,453,7,1,31,/997/8/567/688/695/315/453/12993/,188064,0,,f,32,544207135,734881840,Somatosensory areas layer 1,0.094117647,0.501960784,0.392156863
32,12994,0,Somatosensory areas layer 2/3,SS2/3,,1,3,8690,453,7,1,32,/997/8/567/688/695/315/453/12994/,188064,0,,f,33,2147483647,734881840,Somatosensory areas layer 2/3,0.094117647,0.501960784,0.392156863
33,12995,0,Somatosensory areas layer 4,SS4,,1,3,8690,453,7,1,33,/997/8/567/688/695/315/453/12995/,188064,0,,f,34,1342506384,734881840,Somatosensory areas layer 4,0.094117647,0.501960784,0.392156863
34,12996,0,Somatosensory areas layer 5,SS5,,1,3,8690,453,7,1,34,/997/8/567/688/695/315/453/12996/,188064,0,,f,35,654456070,734881840,Somatosensory areas layer 5,0.094117647,0.501960784,0.392156863
35,12997,0,Somatosensory areas layer 6a,SS6a,,1,3,8690,453,7,1,35,/997/8/567/688/695/315/453/12997/,188064,0,,f,36,719211136,734881840,Somatosensory areas layer 6a,0.094117647,0.501960784,0.392156863
36,12998,0,Somatosensory areas layer 6b,SS6b,,1,3,8690,453,7,1,36,/997/8/567/688/695/315/453/12998/,188064,0,,f,37,2147483647,734881840,Somatosensory areas layer 6b,0.094117647,0.501960784,0.392156863
37,322,747,Primary somatosensory area,SSp,,1,3,8690,453,7,1,37,/997/8/567/688/695/315/453/322/,188064,0,,f,38,131561364,734881840,Primary somatosensory area,0.094117647,0.501960784,0.392156863
38,793,1089,Primary somatosensory area layer 1,SSp1,,1,3,8690,322,8,1,38,/997/8/567/688/695/315/453/322/793/,188064,0,,f,39,1205993041,734881840,Primary somatosensory area layer 1,0.094117647,0.501960784,0.392156863
39,346,1033,Primary somatosensory area layer 2/3,SSp2/3,,1,3,8690,322,8,1,39,/997/8/567/688/695/315/453/322/346/,188064,0,,f,40,401998130,734881840,Primary somatosensory area layer 2/3,0.094117647,0.501960784,0.392156863
40,865,1098,Primary somatosensory area layer 4,SSp4,,1,3,8690,322,8,1,40,/997/8/567/688/695/315/453/322/865/,188064,0,,f,41,931859166,734881840,Primary somatosensory area layer 4,0.094117647,0.501960784,0.392156863
41,921,1105,Primary somatosensory area layer 5,SSp5,,1,3,8690,322,8,1,41,/997/8/567/688/695/315/453/322/921/,188064,0,,f,42,1082931784,734881840,Primary somatosensory area layer 5,0.094117647,0.501960784,0.392156863
42,686,934,Primary somatosensory area layer 6a,SSp6a,,1,3,8690,322,8,1,42,/997/8/567/688/695/315/453/322/686/,188064,0,,f,43,2147483647,734881840,Primary somatosensory area layer 6a,0.094117647,0.501960784,0.392156863
43,719,938,Primary somatosensory area layer 6b,SSp6b,,1,3,8690,322,8,1,43,/997/8/567/688/695/315/453/322/719/,188064,0,,f,44,584382882,734881840,Primary somatosensory area layer 6b,0.094117647,0.501960784,0.392156863
44,353,751,Primary somatosensory area nose,SSp-n,,1,3,8690,322,8,1,44,/997/8/567/688/695/315/453/322/353/,188064,0,,f,45,2147483647,734881840,Primary somatosensory area nose,0.094117647,0.501960784,0.392156863
45,558,635,Primary somatosensory area nose layer 1,SSp-n1,,1,3,8690,353,9,1,45,/997/8/567/688/695/315/453/322/353/558/,188064,0,,f,46,2147483647,734881840,Primary somatosensory area nose layer 1,0.094117647,0.501960784,0.392156863
46,838,953,Primary somatosensory area nose layer 2/3,SSp-n2/3,,1,3,8690,353,9,1,46,/997/8/567/688/695/315/453/322/353/838/,188064,0,,f,47,2147483647,734881840,Primary somatosensory area nose layer 2/3,0.094117647,0.501960784,0.392156863
47,654,647,Primary somatosensory area nose layer 4,SSp-n4,,1,3,8690,353,9,1,47,/997/8/567/688/695/315/453/322/353/654/,188064,0,,f,48,2147483647,734881840,Primary somatosensory area nose layer 4,0.094117647,0.501960784,0.392156863
48,702,653,Primary somatosensory area nose layer 5,SSp-n5,,1,3,8690,353,9,1,48,/997/8/567/688/695/315/453/322/353/702/,188064,0,,f,49,2147483647,734881840,Primary somatosensory area nose layer 5,0.094117647,0.501960784,0.392156863
49,889,1101,Primary somatosensory area nose layer 6a,SSp-n6a,,1,3,8690,353,9,1,49,/997/8/567/688/695/315/453/322/353/889/,188064,0,,f,50,2147483647,734881840,Primary somatosensory area nose layer 6a,0.094117647,0.501960784,0.392156863
