index,id,atlas_id,name,acronym,st_level,ontology_id,hemisphere_id,weight,parent_structure_id,depth,graph_id,graph_order,structure_id_path,color_hex_triplet,neuro_name_structure_id,neuro_name_structure_id_path,failed,sphinx_id,structure_name_facet,failed_facet,safe_name,R,G,B
157,669,366,Visual areas,VIS,,1,3,8690,315,6,1,157,/997/8/567/688/695/315/669/,08858C,0,,f,158,2147483647,734881840,Visual areas,0.031372549,0.521568627,0.549019608
158,801,1090,Visual areas layer 1,VIS1,,1,3,8690,669,7,1,158,/997/8/567/688/695/315/669/801/,08858C,0,,f,159,2147483647,734881840,Visual areas layer 1,0.031372549,0.521568627,0.549019608
159,561,1060,Visual areas layer 2/3,VIS2/3,,1,3,8690,669,7,1,159,/997/8/567/688/695/315/669/561/,08858C,0,,f,160,2147483647,734881840,Visual areas layer 2/3,0.031372549,0.521568627,0.549019608
160,913,1104,Visual areas layer 4,VIS4,,1,3,8690,669,7,1,160,/997/8/567/688/695/315/669/913/,08858C,0,,f,161,2147483647,734881840,Visual areas layer 4,0.031372549,0.521568627,0.549019608
161,937,1107,Visual areas layer 5,VIS5,,1,3,8690,669,7,1,161,/997/8/567/688/695/315/669/937/,08858C,0,,f,162,2147483647,734881840,Visual areas layer 5,0.031372549,0.521568627,0.549019608
162,457,1047,Visual areas layer 6a,VIS6a,,1,3,8690,669,7,1,162,/997/8/567/688/695/315/669/457/,08858C,0,,f,163,597515648,734881840,Visual areas layer 6a,0.031372549,0.521568627,0.549019608
163,497,1052,Visual areas layer 6b,VIS6b,,1,3,8690,669,7,1,163,/997/8/567/688/695/315/669/497/,08858C,0,,f,164,2147483647,734881840,Visual areas layer 6b,0.031372549,0.521568627,0.549019608
164,402,757,Anterolateral visual area,VISal,,1,3,8690,669,7,1,164,/997/8/567/688/695/315/669/402/,08858C,0,,f,165,1250787960,734881840,Anterolateral visual area,0.031372549,0.521568627,0.549019608
165,1074,1124,Anterolateral visual area layer 1,VISal1,,1,3,8690,402,8,1,165,/997/8/567/688/695/315/669/402/1074/,08858C,0,,f,166,2147483647,734881840,Anterolateral visual area layer 1,0.031372549,0.521568627,0.549019608
166,905,1103,Anterolateral visual area layer 2/3,VISal2/3,,1,3,8690,402,8,1,166,/997/8/567/688/695/315/669/402/905/,08858C,0,,f,167,125014447,734881840,Anterolateral visual area layer 2/3,0.031372549,0.521568627,0.549019608
167,1114,1129,Anterolateral visual area layer 4,VISal4,,1,3,8690,402,8,1,167,/997/8/567/688/695/315/669/402/1114/,08858C,0,,f,168,2147483647,734881840,Anterolateral visual area layer 4,0.031372549,0.521568627,0.549019608
168,233,453,Anterolateral visual area layer 5,VISal5,,1,3,8690,402,8,1,168,/997/8/567/688/695/315/669/402/233/,08858C,0,,f,169,2147483647,734881840,Anterolateral visual area layer 5,0.031372549,0.521568627,0.549019608
169,601,1065,Anterolateral visual area layer 6a,VISal6a,,1,3,8690,402,8,1,169,/997/8/567/688/695/315/669/402/601/,08858C,0,,f,170,2147483647,734881840,Anterolateral visual area layer 6a,0.031372549,0.521568627,0.549019608
170,649,1071,Anterolateral visual area layer 6b,VISal6b,,1,3,8690,402,8,1,170,/997/8/567/688/695/315/669/402/649/,08858C,0,,f,171,2101231160,734881840,Anterolateral visual area layer 6b,0.031372549,0.521568627,0.549019608
171,394,756,Anteromedial visual area,VISam,,1,3,8690,669,7,1,171,/997/8/567/688/695/315/669/394/,08858C,0,,f,172,1045871632,734881840,Anteromedial visual area,0.031372549,0.521568627,0.549019608
172,281,1025,Anteromedial visual area layer 1,VISam1,,1,3,8690,394,8,1,172,/997/8/567/688/695/315/669/394/281/,08858C,0,,f,173,660054922,734881840,Anteromedial visual area layer 1,0.031372549,0.521568627,0.549019608
173,1066,1123,Anteromedial visual area layer 2/3,VISam2/3,,1,3,8690,394,8,1,173,/997/8/567/688/695/315/669/394/1066/,08858C,0,,f,174,1625313305,734881840,Anteromedial visual area layer 2/3,0.031372549,0.521568627,0.549019608
174,401,1040,Anteromedial visual area layer 4,VISam4,,1,3,8690,394,8,1,174,/997/8/567/688/695/315/669/394/401/,08858C,0,,f,175,1463637765,734881840,Anteromedial visual area layer 4,0.031372549,0.521568627,0.549019608
175,433,1044,Anteromedial visual area layer 5,VISam5,,1,3,8690,394,8,1,175,/997/8/567/688/695/315/669/394/433/,08858C,0,,f,176,540698515,734881840,Anteromedial visual area layer 5,0.031372549,0.521568627,0.549019608
176,1046,696,Anteromedial visual area layer 6a,VISam6a,,1,3,8690,394,8,1,176,/997/8/567/688/695/315/669/394/1046/,08858C,0,,f,177,2147483647,734881840,Anteromedial visual area layer 6a,0.031372549,0.521568627,0.549019608
177,441,762,Anteromedial visual area layer 6b,VISam6b,,1,3,8690,394,8,1,177,/997/8/567/688/695/315/669/394/441/,08858C,0,,f,178,867517603,734881840,Anteromedial visual area layer 6b,0.031372549,0.521568627,0.549019608
178,409,758,Lateral visual area,VISl,,1,3,8690,669,7,1,178,/997/8/567/688/695/315/669/409/,08858C,0,,f,179,1805245805,734881840,Lateral visual area,0.031372549,0.521568627,0.549019608
179,421,618,Lateral visual area layer 1,VISl1,,1,3,8690,409,8,1,179,/997/8/567/688/695/315/669/409/421/,08858C,0,,f,180,764316736,734881840,Lateral visual area layer 1,0.031372549,0.521568627,0.549019608
180,973,687,Lateral visual area layer 2/3,VISl2/3,,1,3,8690,409,8,1,180,/997/8/567/688/695/315/669/409/973/,08858C,0,,f,181,2147483647,734881840,Lateral visual area layer 2/3,0.031372549,0.521568627,0.549019608
181,573,637,Lateral visual area layer 4,VISl4,,1,3,8690,409,8,1,181,/997/8/567/688/695/315/669/409/573/,08858C,0,,f,182,1575254223,734881840,Lateral visual area layer 4,0.031372549,0.521568627,0.549019608
182,613,642,Lateral visual area layer 5,VISl5,,1,3,8690,409,8,1,182,/997/8/567/688/695/315/669/409/613/,08858C,0,,f,183,719538265,734881840,Lateral visual area layer 5,0.031372549,0.521568627,0.549019608
183,74,999,Lateral visual area layer 6a,VISl6a,,1,3,8690,409,8,1,183,/997/8/567/688/695/315/669/409/74/,08858C,0,,f,184,2147483647,734881840,Lateral visual area layer 6a,0.031372549,0.521568627,0.549019608
184,121,1005,Lateral visual area layer 6b,VISl6b,,1,3,8690,409,8,1,184,/997/8/567/688/695/315/669/409/121/,08858C,0,,f,185,1208923682,734881840,Lateral visual area layer 6b,0.031372549,0.521568627,0.549019608
185,385,755,Primary visual area,VISp,,1,3,8690,669,7,1,185,/997/8/567/688/695/315/669/385/,08858C,0,,f,186,2147483647,734881840,Primary visual area,0.031372549,0.521568627,0.549019608
186,593,1064,Primary visual area layer 1,VISp1,,1,3,8690,385,8,1,186,/997/8/567/688/695/315/669/385/593/,08858C,0,,f,187,1371845489,734881840,Primary visual area layer 1,0.031372549,0.521568627,0.549019608
187,821,951,Primary visual area layer 2/3,VISp2/3,,1,3,8690,385,8,1,187,/997/8/567/688/695/315/669/385/821/,08858C,0,,f,188,2147483647,734881840,Primary visual area layer 2/3,0.031372549,0.521568627,0.549019608
188,721,1080,Primary visual area layer 4,VISp4,,1,3,8690,385,8,1,188,/997/8/567/688/695/315/669/385/721/,08858C,0,,f,189,565069822,734881840,Primary visual area layer 4,0.031372549,0.521568627,0.549019608
189,778,1087,Primary visual area layer 5,VISp5,,1,3,8690,385,8,1,189,/997/8/567/688/695/315/669/385/778/,08858C,0,,f,190,1453946728,734881840,Primary visual area layer 5,0.031372549,0.521568627,0.549019608
190,33,428,Primary visual area layer 6a,VISp6a,,1,3,8690,385,8,1,190,/997/8/567/688/695/315/669/385/33/,08858C,0,,f,191,2147483647,734881840,Primary visual area layer 6a,0.031372549,0.521568627,0.549019608
