index,id,atlas_id,parent_structure_id,depth,structure_id_path,color_hex_triplet,name,acronym
454,1089,135,695,5,/997/8/567/688/695/1089/,7ED04B,Hippocampal formation,HPF
455,1080,134,1089,6,/997/8/567/688/695/1089/1080/,7ED04B,Hippocampal region,HIP
456,375,46,1080,7,/997/8/567/688/695/1089/1080/375/,7ED04B,Ammon's horn,CA
457,382,47,375,8,/997/8/567/688/695/1089/1080/375/382/,7ED04B,Field CA1,CA1
458,391,48,382,9,/997/8/567/688/695/1089/1080/375/382/391/,7ED04B,Field CA1 stratum lacunosum-moleculare,CA1slm
459,399,49,382,9,/997/8/567/688/695/1089/1080/375/382/399/,7ED04B,Field CA1 stratum oriens,CA1so
460,407,50,382,9,/997/8/567/688/695/1089/1080/375/382/407/,66A83D,Field CA1 pyramidal layer,CA1sp
461,415,51,382,9,/997/8/567/688/695/1089/1080/375/382/415/,7ED04B,Field CA1 stratum radiatum,CA1sr
462,423,52,375,8,/997/8/567/688/695/1089/1080/375/423/,7ED04B,Field CA2,CA2
463,431,53,423,9,/997/8/567/688/695/1089/1080/375/423/431/,7ED04B,Field CA2 stratum lacunosum-moleculare,CA2slm
464,438,54,423,9,/997/8/567/688/695/1089/1080/375/423/438/,7ED04B,Field CA2 stratum oriens,CA2so
465,446,55,423,9,/997/8/567/688/695/1089/1080/375/423/446/,66A83D,Field CA2 pyramidal layer,CA2sp
466,454,56,423,9,/997/8/567/688/695/1089/1080/375/423/454/,7ED04B,Field CA2 stratum radiatum,CA2sr
467,463,57,375,8,/997/8/567/688/695/1089/1080/375/463/,7ED04B,Field CA3,CA3
468,471,58,463,9,/997/8/567/688/695/1089/1080/375/463/471/,7ED04B,Field CA3 stratum lacunosum-moleculare,CA3slm
469,479,59,463,9,/997/8/567/688/695/1089/1080/375/463/479/,7ED04B,Field CA3 stratum lucidum,CA3slu
470,486,60,463,9,/997/8/567/688/695/1089/1080/375/463/486/,7ED04B,Field CA3 stratum oriens,CA3so
471,495,61,463,9,/997/8/567/688/695/1089/1080/375/463/495/,66A83D,Field CA3 pyramidal layer,CA3sp
472,504,62,463,9,/997/8/567/688/695/1089/1080/375/463/504/,7ED04B,Field CA3 stratum radiatum,CA3sr
473,726,90,1080,7,/997/8/567/688/695/1089/1080/726/,7ED04B,Dentate gyrus,DG
474,10703,,726,8,/997/8/567/688/695/1089/1080/726/10703/,7ED04B,Dentate gyrus molecular layer,DG-mo
475,10704,,726,8,/997/8/567/688/695/1089/1080/726/10704/,7ED04B,Dentate gyrus polymorph layer,DG-po
476,632,927,726,8,/997/8/567/688/695/1089/1080/726/632/,66A83D,Dentate gyrus granule cell layer,DG-sg
477,10702,,726,8,/997/8/567/688/695/1089/1080/726/10702/,7ED04B,Dentate gyrus subgranular zone,DG-sgz
478,734,91,726,8,/997/8/567/688/695/1089/1080/726/734/,7ED04B,Dentate gyrus crest,DGcr
479,742,92,734,9,/997/8/567/688/695/1089/1080/726/734/742/,7ED04B,Dentate gyrus crest molecular layer,DGcr-mo
480,751,93,734,9,/997/8/567/688/695/1089/1080/726/734/751/,7ED04B,Dentate gyrus crest polymorph layer,DGcr-po
481,758,94,734,9,/997/8/567/688/695/1089/1080/726/734/758/,7ED04B,Dentate gyrus crest granule cell layer,DGcr-sg
482,766,95,726,8,/997/8/567/688/695/1089/1080/726/766/,7ED04B,Dentate gyrus lateral blade,DGlb
483,775,96,766,9,/997/8/567/688/695/1089/1080/726/766/775/,7ED04B,Dentate gyrus lateral blade molecular layer,DGlb-mo
484,782,97,766,9,/997/8/567/688/695/1089/1080/726/766/782/,7ED04B,Dentate gyrus lateral blade polymorph layer,DGlb-po
485,790,98,766,9,/997/8/567/688/695/1089/1080/726/766/790/,7ED04B,Dentate gyrus lateral blade granule cell layer,DGlb-sg
486,799,99,726,8,/997/8/567/688/695/1089/1080/726/799/,7ED04B,Dentate gyrus medial blade,DGmb
487,807,100,799,9,/997/8/567/688/695/1089/1080/726/799/807/,7ED04B,Dentate gyrus medial blade molecular layer,DGmb-mo
488,815,101,799,9,/997/8/567/688/695/1089/1080/726/799/815/,7ED04B,Dentate gyrus medial blade polymorph layer,DGmb-po
489,823,102,799,9,/997/8/567/688/695/1089/1080/726/799/823/,7ED04B,Dentate gyrus medial blade granule cell layer,DGmb-sg
490,982,122,1080,7,/997/8/567/688/695/1089/1080/982/,7ED04B,Fasciola cinerea,FC
