index,id,atlas_id,parent_structure_id,depth,structure_id_path,color_hex_triplet,name,acronym
715,1097,136,1129,4,/997/8/343/1129/1097/,E64438,Hypothalamus,HY
716,157,302,1097,5,/997/8/343/1129/1097/157/,FF5D50,Periventricular zone,PVZ
717,390,331,157,6,/997/8/343/1129/1097/157/390/,FF5D50,Supraoptic nucleus,SO
718,332,465,157,6,/997/8/343/1129/1097/157/332/,FF5D50,Accessory supraoptic group,ASO
719,432,902,332,7,/997/8/343/1129/1097/157/332/432/,FF5D50,Nucleus circularis,NC
720,38,287,157,6,/997/8/343/1129/1097/157/38/,FF5D50,Paraventricular hypothalamic nucleus,PVH
721,71,291,38,7,/997/8/343/1129/1097/157/38/71/,FF5D50,Paraventricular hypothalamic nucleus magnocellular division,PVHm
722,47,288,71,8,/997/8/343/1129/1097/157/38/71/47/,FF5D50,Paraventricular hypothalamic nucleus magnocellular division anterior magnocellular part,PVHam
723,79,292,71,8,/997/8/343/1129/1097/157/38/71/79/,FF5D50,Paraventricular hypothalamic nucleus magnocellular division medial magnocellular part,PVHmm
724,103,295,71,8,/997/8/343/1129/1097/157/38/71/103/,FF5D50,Paraventricular hypothalamic nucleus magnocellular division posterior magnocellular part,PVHpm
725,652,788,103,9,/997/8/343/1129/1097/157/38/71/103/652/,FF5D50,Paraventricular hypothalamic nucleus magnocellular division posterior magnocellular part lateral zone,PVHpml
726,660,789,103,9,/997/8/343/1129/1097/157/38/71/103/660/,FF5D50,Paraventricular hypothalamic nucleus magnocellular division posterior magnocellular part medial zone,PVHpmm
727,94,294,38,7,/997/8/343/1129/1097/157/38/94/,FF5D50,Paraventricular hypothalamic nucleus parvicellular division,PVHp
728,55,289,94,8,/997/8/343/1129/1097/157/38/94/55/,FF5D50,Paraventricular hypothalamic nucleus parvicellular division anterior parvicellular part,PVHap
729,87,293,94,8,/997/8/343/1129/1097/157/38/94/87/,FF5D50,Paraventricular hypothalamic nucleus parvicellular division medial parvicellular part dorsal zone,PVHmpd
730,110,296,94,8,/997/8/343/1129/1097/157/38/94/110/,FF5D50,Paraventricular hypothalamic nucleus parvicellular division periventricular part,PVHpv
731,30,286,157,6,/997/8/343/1129/1097/157/30/,FF5D50,Periventricular hypothalamic nucleus anterior part,PVa
732,118,297,157,6,/997/8/343/1129/1097/157/118/,FF5D50,Periventricular hypothalamic nucleus intermediate part,PVi
733,223,27,157,6,/997/8/343/1129/1097/157/223/,FF5D50,Arcuate hypothalamic nucleus,ARH
734,141,300,1097,5,/997/8/343/1129/1097/141/,FF5547,Periventricular region,PVR
735,72,8,141,6,/997/8/343/1129/1097/141/72/,FF5547,Anterodorsal preoptic nucleus,ADP
736,80,9,141,6,/997/8/343/1129/1097/141/80/,FF5547,Anterior hypothalamic area,AHA
737,263,32,141,6,/997/8/343/1129/1097/141/263/,FF5547,Anteroventral preoptic nucleus,AVP
