index,id,atlas_id,parent_structure_id,depth,structure_id_path,color_hex_triplet,name,acronym
379,698,228,695,5,/997/8/567/688/695/698/,9AD2BD,Olfactory areas,OLF
380,507,204,698,6,/997/8/567/688/695/698/507/,9AD2BD,Main olfactory bulb,MOB
381,212,733,507,7,/997/8/567/688/695/698/507/212/,82C7AE,Main olfactory bulb glomerular layer,MOBgl
382,220,734,507,7,/997/8/567/688/695/698/507/220/,82C7AE,Main olfactory bulb granule layer,MOBgr
383,228,735,507,7,/997/8/567/688/695/698/507/228/,9AD2BD,Main olfactory bulb inner plexiform layer,MOBipl
384,236,736,507,7,/997/8/567/688/695/698/507/236/,82C7AE,Main olfactory bulb mitral layer,MOBmi
385,244,737,507,7,/997/8/567/688/695/698/507/244/,9AD2BD,Main olfactory bulb outer plexiform layer,MOBopl
386,151,18,698,6,/997/8/567/688/695/698/151/,9DF0D2,Accessory olfactory bulb,AOB
387,188,730,151,7,/997/8/567/688/695/698/151/188/,9DF0D2,Accessory olfactory bulb glomerular layer,AOBgl
388,196,731,151,7,/997/8/567/688/695/698/151/196/,95E4C8,Accessory olfactory bulb granular layer,AOBgr
389,204,732,151,7,/997/8/567/688/695/698/151/204/,9DF0D2,Accessory olfactory bulb mitral layer,AOBmi
390,159,19,698,6,/997/8/567/688/695/698/159/,54BF94,Anterior olfactory nucleus,AON
391,167,20,159,7,/997/8/567/688/695/698/159/167/,54BF94,Anterior olfactory nucleus dorsal part,AONd
392,175,21,159,7,/997/8/567/688/695/698/159/175/,54BF94,Anterior olfactory nucleus external part,AONe
393,183,22,159,7,/997/8/567/688/695/698/159/183/,54BF94,Anterior olfactory nucleus lateral part,AONl
394,191,23,159,7,/997/8/567/688/695/698/159/191/,54BF94,Anterior olfactory nucleus medial part,AONm
395,199,24,159,7,/997/8/567/688/695/698/159/199/,54BF94,Anterior olfactory nucleus posteroventral part,AONpv
396,160,868,159,7,/997/8/567/688/695/698/159/160/,54BF94,Anterior olfactory nucleus layer 1,AON1
397,168,869,159,7,/997/8/567/688/695/698/159/168/,54BF94,Anterior olfactory nucleus layer 2,AON2
398,589,356,698,6,/997/8/567/688/695/698/589/,62D09F,Taenia tecta,TT
399,597,357,589,7,/997/8/567/688/695/698/589/597/,62D09F,Taenia tecta dorsal part,TTd
400,297,744,597,8,/997/8/567/688/695/698/589/597/297/,62D09F,Taenia tecta dorsal part layers 1-4,TTd1-4
401,1034,836,597,8,/997/8/567/688/695/698/589/597/1034/,62D09F,Taenia tecta dorsal part layer 1,TTd1
402,1042,837,597,8,/997/8/567/688/695/698/589/597/1042/,62D09F,Taenia tecta dorsal part layer 2,TTd2
403,1050,838,597,8,/997/8/567/688/695/698/589/597/1050/,62D09F,Taenia tecta dorsal part layer 3,TTd3
404,1059,839,597,8,/997/8/567/688/695/698/589/597/1059/,62D09F,Taenia tecta dorsal part layer 4,TTd4
405,605,358,589,7,/997/8/567/688/695/698/589/605/,62D09F,Taenia tecta ventral part,TTv
406,306,745,605,8,/997/8/567/688/695/698/589/605/306/,62D09F,Taenia tecta ventral part layers 1-3,TTv1-3
407,1067,840,605,8,/997/8/567/688/695/698/589/605/1067/,62D09F,Taenia tecta ventral part layer 1,TTv1
408,1075,841,605,8,/997/8/567/688/695/698/589/605/1075/,62D09F,Taenia tecta ventral part layer 2,TTv2
409,1082,842,605,8,/997/8/567/688/695/698/589/605/1082/,62D09F,Taenia tecta ventral part layer 3,TTv3
410,814,384,698,6,/997/8/567/688/695/698/814/,A4DAA4,Dorsal peduncular area,DP
411,496,627,814,7,/997/8/567/688/695/698/814/496/,A4DAA4,Dorsal peduncular area layer 1,DP1
412,535,632,814,7,/997/8/567/688/695/698/814/535/,A4DAA4,Dorsal peduncular area layer 2,DP2
413,360,893,814,7,/997/8/567/688/695/698/814/360/,A4DAA4,Dorsal peduncular area layer 2/3,DP2/3
414,646,646,814,7,/997/8/567/688/695/698/814/646/,A4DAA4,Dorsal peduncular area layer 5,DP5
415,267,1023,814,7,/997/8/567/688/695/698/814/267/,A4DAA4,Dorsal peduncular area layer 6a,DP6a
416,961,261,698,6,/997/8/567/688/695/698/961/,6ACBBA,Piriform area,PIR
417,152,867,961,7,/997/8/567/688/695/698/961/152/,6ACBBA,Piriform area layers 1-3,PIR1-3
418,276,741,961,7,/997/8/567/688/695/698/961/276/,6ACBBA,Piriform area molecular layer,PIR1
419,284,742,961,7,/997/8/567/688/695/698/961/284/,6ACBBA,Piriform area pyramidal layer,PIR2
420,291,743,961,7,/997/8/567/688/695/698/961/291/,6ACBBA,Piriform area polymorph layer,PIR3
421,619,218,698,6,/997/8/567/688/695/698/619/,95E4C8,Nucleus of the lateral olfactory tract,NLOT
422,392,897,619,7,/997/8/567/688/695/698/619/392/,95E4C8,Nucleus of the lateral olfactory tract layers 1-3,NLOT1-3
423,260,739,619,7,/997/8/567/688/695/698/619/260/,95E4C8,Nucleus of the lateral olfactory tract molecular layer,NLOT1
424,268,740,619,7,/997/8/567/688/695/698/619/268/,95E4C8,Nucleus of the lateral olfactory tract pyramidal layer,NLOT2
425,1139,1137,619,7,/997/8/567/688/695/698/619/1139/,95E4C8,Nucleus of the lateral olfactory tract layer 3,NLOT3
426,631,78,698,6,/997/8/567/688/695/698/631/,61E7B7,Cortical amygdalar area,COA
427,639,79,631,7,/997/8/567/688/695/698/631/639/,61E7B7,Cortical amygdalar area anterior part,COAa
428,192,872,639,8,/997/8/567/688/695/698/631/639/192/,61E7B7,Cortical amygdalar area anterior part layer 1,COAa1
429,200,873,639,8,/997/8/567/688/695/698/631/639/200/,61E7B7,Cortical amygdalar area anterior part layer 2,COAa2
430,208,874,639,8,/997/8/567/688/695/698/631/639/208/,61E7B7,Cortical amygdalar area anterior part layer 3,COAa3
431,647,80,631,7,/997/8/567/688/695/698/631/647/,61E7B7,Cortical amygdalar area posterior part,COAp
432,655,81,647,8,/997/8/567/688/695/698/631/647/655/,61E7B7,Cortical amygdalar area posterior part lateral zone,COApl
433,584,921,655,9,/997/8/567/688/695/698/631/647/655/584/,61E7B7,Cortical amygdalar area posterior part lateral zone layers 1-2,COApl1-2
434,376,895,655,9,/997/8/567/688/695/698/631/647/655/376/,61E7B7,Cortical amygdalar area posterior part lateral zone layers 1-3,COApl1-3
435,216,875,655,9,/997/8/567/688/695/698/631/647/655/216/,61E7B7,Cortical amygdalar area posterior part lateral zone layer 1,COApl1
436,224,876,655,9,/997/8/567/688/695/698/631/647/655/224/,61E7B7,Cortical amygdalar area posterior part lateral zone layer 2,COApl2
