index,id,atlas_id,depth,structure_id_path,color_hex_triplet,name,acronym
15564,15564,15564,0,/15564//,#FFFFFF,"Mus musculus",mouse
15565,15565,15565,1,/15564/15565/,#004BFF,"neural plate",NP
15566,15566,15566,2,/15564/15565/15566/,#00FFBE,"forebrain",F
15567,15567,15567,3,/15564/15565/15566/15567/,#4F00FF,"secondary prosencephalon",SP
15568,15568,15568,4,/15564/15565/15566/15567/15568/,#BAFF00,"rostral secondary prosencephalon",RSP
15569,15569,15569,5,/15564/15565/15566/15567/15568/15569/,#A2FF00,"preoptic telencephalon",POTel
15570,15570,15570,6,/15564/15565/15566/15567/15568/15569/15570/,#1800FF,"preoptic roof plate",POR
15571,15571,15571,9,/15564/15565/15566/15567/15568/15569/15570///15571/,#FF0E00,"rostral septocommissural area",RSCom
15572,15572,15572,10,/15564/15565/15566/15567/15568/15569/15570///15571/15572/,#E8FF00,"ventricular zone of RSCom",RSComv
15573,15573,15573,12,/15564/15565/15566/15567/15568/15569/15570///15571/15572//15573/,#9FFF00,"anterior commissure bed",ACBed
15574,15574,15574,10,/15564/15565/15566/15567/15568/15569/15570///15571/15574/,#00FF08,"mantle zone of RSCom",RSComm
15575,15575,15575,12,/15564/15565/15566/15567/15568/15569/15570///15571/15574//15575/,#D100FF,"median preoptic nucleus, commissural part",MnPOC
15576,15576,15576,6,/15564/15565/15566/15567/15568/15569/15576/,#0077FF,"preoptic alar plate",POA
15577,15577,15577,7,/15564/15565/15566/15567/15568/15569/15576/15577/,#008EFF,"preoptic area",PO
111220530,111220530,111220530,10,/15564/15565/15566/15567/15568/15569/15576/15577///111220530/,#FFA400,"ventricular zone of PO",POv
111220532,111220532,111220532,10,/15564/15565/15566/15567/15568/15569/15576/15577///111220532/,#FF5600,"mantle zone of PO",POm
15578,15578,15578,9,/15564/15565/15566/15567/15568/15569/15576/15577//15578/,#00C3FF,"lamina terminalis area",LTer
15579,15579,15579,10,/15564/15565/15566/15567/15568/15569/15576/15577//15578/15579/,#FF3A00,"ventricular zone of LTer",LTerv
15580,15580,15580,10,/15564/15565/15566/15567/15568/15569/15576/15577//15578/15580/,#6A00FF,"mantle zone of LTer",LTerm
15581,15581,15581,11,/15564/15565/15566/15567/15568/15569/15576/15577//15578/15580/15581/,#00FF4B,"periventricular stratum of the LTer",LTerp
15582,15582,15582,12,/15564/15565/15566/15567/15568/15569/15576/15577//15578/15580/15581/15582/,#0004FF,"vascular organ of the lamina terminalis",VOLT
15583,15583,15583,11,/15564/15565/15566/15567/15568/15569/15576/15577//15578/15580/15583/,#25FF00,"intermediate stratum of the LTer",LTeri
15584,15584,15584,12,/15564/15565/15566/15567/15568/15569/15576/15577//15578/15580/15583/15584/,#FFDD00,"median preoptic nucleus, intermediate part",MnPOI
15585,15585,15585,11,/15564/15565/15566/15567/15568/15569/15576/15577//15578/15580/15585/,#7CFF00,"superficial stratum of the LTer",LTers
15586,15586,15586,12,/15564/15565/15566/15567/15568/15569/15576/15577//15578/15580/15585/15586/,#FF00F0,"median preoptic nucleus, superficial part",MnPOS
15587,15587,15587,9,/15564/15565/15566/15567/15568/15569/15576/15577//15587/,#AB00FF,"first (dorsal) preoptic domain",PO1
15588,15588,15588,10,/15564/15565/15566/15567/15568/15569/15576/15577//15587/15588/,#00FF05,"ventricular zone of PO1",PO1v
15589,15589,15589,10,/15564/15565/15566/15567/15568/15569/15576/15577//15587/15589/,#FF00CD,"mantle zone of PO1",PO1m
15590,15590,15590,11,/15564/15565/15566/15567/15568/15569/15576/15577//15587/15589/15590/,#00FF35,"periventricular stratum of PO1",PO1p
15591,15591,15591,12,/15564/15565/15566/15567/15568/15569/15576/15577//15587/15589/15590/15591/,#63FF00,"anteroventral periventricular preoptic nucleus",AVPe
15592,15592,15592,12,/15564/15565/15566/15567/15568/15569/15576/15577//15587/15589/15590/15592/,#7FFF00,"dorsal septopreoptic nucleus",DSPO
15593,15593,15593,11,/15564/15565/15566/15567/15568/15569/15576/15577//15587/15589/15593/,#00D1FF,"intermediate stratum of PO1",PO1i
15594,15594,15594,12,/15564/15565/15566/15567/15568/15569/15576/15577//15587/15589/15593/15594/,#00FEFF,"parastrial preoptic nucleus",PS
15595,15595,15595,12,/15564/15565/15566/15567/15568/15569/15576/15577//15587/15589/15593/15595/,#00FF84,"dorsomedial preoptic area, intermediate part",DMPAi
15596,15596,15596,12,/15564/15565/15566/15567/15568/15569/15576/15577//15587/15589/15593/15596/,#0045FF,"lateral preoptic area, PO1 part",LPO1
15597,15597,15597,11,/15564/15565/15566/15567/15568/15569/15576/15577//15587/15589/15597/,#FF004F,"superficial stratum of PO1",PO1s
15598,15598,15598,12,/15564/15565/15566/15567/15568/15569/15576/15577//15587/15589/15597/15598/,#00FFCC,"dorsomedial preoptic area, superficial part",DMPAs
15599,15599,15599,9,/15564/15565/15566/15567/15568/15569/15576/15577//15599/,#FF0080,"second (ventral) preoptic domain",PO2
15600,15600,15600,10,/15564/15565/15566/15567/15568/15569/15576/15577//15599/15600/,#FF1200,"ventricular zone of PO2",PO2v
15601,15601,15601,10,/15564/15565/15566/15567/15568/15569/15576/15577//15599/15601/,#FF002D,"mantle zone of PO2",PO2m
15602,15602,15602,11,/15564/15565/15566/15567/15568/15569/15576/15577//15599/15601/15602/,#D500FF,"periventricular stratum of PO2",PO2p
15603,15603,15603,12,/15564/15565/15566/15567/15568/15569/15576/15577//15599/15601/15602/15603/,#00ACFF,"medial preoptic periventricular stratum",MPOPe
15604,15604,15604,12,/15564/15565/15566/15567/15568/15569/15576/15577//15599/15601/15602/15604/,#FF0013,"medial preoptic nucleus",MPO
15605,15605,15605,13,/15564/15565/15566/15567/15568/15569/15576/15577//15599/15601/15602/15604/15605/,#00FFAD,"lateral part of MPO",MPOL
15606,15606,15606,13,/15564/15565/15566/15567/15568/15569/15576/15577//15599/15601/15602/15604/15606/,#0EFF00,"medial part of MPO",MPOM
15607,15607,15607,13,/15564/15565/15566/15567/15568/15569/15576/15577//15599/15601/15602/15604/15607/,#00C7FF,"central part of MPO",MPOC
15608,15608,15608,11,/15564/15565/15566/15567/15568/15569/15576/15577//15599/15601/15608/,#8800FF,"intermediate stratum of PO2",PO2i
15609,15609,15609,12,/15564/15565/15566/15567/15568/15569/15576/15577//15599/15601/15608/15609/,#FF0034,"lateral preoptic nucleus, PO2 part",LPO2
15610,15610,15610,11,/15564/15565/15566/15567/15568/15569/15576/15577//15599/15601/15610/,#00FF3D,"superficial stratum of PO2",PO2s
15611,15611,15611,12,/15564/15565/15566/15567/15568/15569/15576/15577//15599/15601/15610/15611/,#FF00DB,"ventromedial preoptic nucleus",VMPO
15612,15612,15612,12,/15564/15565/15566/15567/15568/15569/15576/15577//15599/15601/15610/15612/,#FF00CE,"ventrolateral preoptic nucleus",VLPO
15613,15613,15613,7,/15564/15565/15566/15567/15568/15569/15576/15613/,#FF8F00,"preopto-hypothalamic band",POH
15614,15614,15614,10,/15564/15565/15566/15567/15568/15569/15576/15613///15614/,#FF0045,"ventricular zone of POH",POHv
15615,15615,15615,10,/15564/15565/15566/15567/15568/15569/15576/15613///15615/,#00FFD2,"mantle zone of POH",POHm
15616,15616,15616,11,/15564/15565/15566/15567/15568/15569/15576/15613///15615/15616/,#6400FF,"periventricular stratum of POH",POHp
15617,15617,15617,11,/15564/15565/15566/15567/15568/15569/15576/15613///15615/15617/,#FF0002,"intermediate stratum of POH",POHi
15618,15618,15618,12,/15564/15565/15566/15567/15568/15569/15576/15613///15615/15617/15618/,#FF0074,"striohypothalamic nucleus",StHy
15619,15619,15619,12,/15564/15565/15566/15567/15568/15569/15576/15613///15615/15617/15619/,#A1FF00,"preopto-hypothalamic area",POHA
15620,15620,15620,11,/15564/15565/15566/15567/15568/15569/15576/15613///15615/15620/,#FF1400,"superficial stratum of POH",POHs
15621,15621,15621,12,/15564/15565/15566/15567/15568/15569/15576/15613///15615/15620/15621/,#57FF00,"episupraoptic nucleus",ESO
15622,15622,15622,5,/15564/15565/15566/15567/15568/15622/,#00FF2D,"terminal hypothalamus (rostral hypothalamus)",THy
15623,15623,15623,6,/15564/15565/15566/15567/15568/15622/15623/,#3CFF00,"alar part of terminal hypothalamus",THyA
